"timestamp"	"blocks"	"registrations"	"registrations_with_edits"	"anonymous_editfilter_hits"	"anonymous_editfilter_prohibits"	"registered_editfilter_hits"	"registered_editfilter_prohibits"
200601	529	124034	124034	NA	NA	NA	NA
200602	535	141294	141294	NA	NA	NA	NA
200603	645	173062	173062	NA	NA	NA	NA
200604	518	157351	109339	NA	NA	NA	NA
200605	650	158744	52896	NA	NA	NA	NA
200606	763	147092	51789	NA	NA	NA	NA
200607	608	159559	55080	NA	NA	NA	NA
200608	643	187980	64536	NA	NA	NA	NA
200609	705	200934	62740	NA	NA	NA	NA
200610	807	219127	67790	NA	NA	NA	NA
200611	825	232073	74259	NA	NA	NA	NA
200612	759	204687	74552	NA	NA	NA	NA
200701	826	237376	93414	NA	NA	NA	NA
200702	868	244821	93986	NA	NA	NA	NA
200703	958	253801	98481	NA	NA	NA	NA
200704	1027	240122	93826	NA	NA	NA	NA
200705	917	223674	87546	NA	NA	NA	NA
200706	783	191498	72654	NA	NA	NA	NA
200707	732	200470	75020	NA	NA	NA	NA
200708	741	195453	74072	NA	NA	NA	NA
200709	859	207247	78870	NA	NA	NA	NA
200710	942	220589	84810	NA	NA	NA	NA
200711	933	182371	76098	NA	NA	NA	NA
200712	794	150701	64196	NA	NA	NA	NA
200801	829	205725	77828	NA	NA	NA	NA
200802	906	199590	77525	NA	NA	NA	NA
200803	909	196102	80360	NA	NA	NA	NA
200804	847	192757	76688	NA	NA	NA	NA
200805	741	183594	72475	NA	NA	NA	NA
200806	593	154404	60042	NA	NA	NA	NA
200807	599	147864	58725	NA	NA	NA	NA
200808	527	151852	59164	NA	NA	NA	NA
200809	923	161983	62382	NA	NA	NA	NA
200810	1375	173367	69265	NA	NA	NA	NA
200811	1033	158247	64705	NA	NA	NA	NA
200812	472	141169	59097	NA	NA	NA	NA
200901	575	175718	67512	NA	NA	NA	NA
200902	581	170469	65506	NA	NA	NA	NA
200903	616	181318	68860	43862	1886	12028	468
200904	441	163478	62076	66957	3614	26498	941
200905	453	161192	62781	64672	3944	27489	723
200906	512	152802	58394	46496	3050	22642	999
200907	461	149970	58166	36155	3295	19926	718
200908	458	157089	57478	41444	7024	19643	1109
200909	396	156897	58464	64331	13830	24062	2548
200910	433	165510	63560	70184	14590	23025	2534
200911	399	156877	62147	69187	16930	17662	2855
200912	388	142346	56071	50628	14401	13538	2213
201001	412	170057	63530	59972	15280	15561	2490
201002	411	162412	61811	65296	17760	16859	3614
201003	447	168298	64513	64029	15270	17747	3106
201004	386	150292	58032	55757	10197	15220	1805
201005	376	148831	56680	71531	34904	17207	5667
201006	356	118545	48388	45134	19753	13924	3937
201007	356	116398	46981	36464	15383	12301	3005
201008	355	117389	47330	40926	16445	12779	3112
201009	345	120434	47832	64639	23358	14061	3464
201010	325	126437	50733	75251	27695	16594	4188
201011	343	122861	48888	66594	24545	18838	3807
201012	295	111723	44789	53086	19569	16175	2998
201101	304	134134	53505	61327	21572	17365	2944
201102	349	130166	53988	59742	22126	19998	4565
201103	289	142620	61231	60157	20960	21685	4697
201104	298	137406	55140	51368	16735	19595	3727
201105	337	135394	53521	49625	14511	18319	3261
201106	344	127575	53681	34039	9706	14919	2386
201107	316	130967	53447	31237	8854	11352	1958
201108	335	136838	54609	37037	10095	11497	2198
201109	243	136162	55827	57672	17301	13876	3307
201110	310	134924	54423	89718	32173	17366	5167
201111	246	129043	52500	83074	35792	17978	5823
201112	291	115575	47383	63972	27730	14663	4772
201201	300	131519	53743	71085	27516	16558	4851
201202	278	124068	52065	74909	29573	16514	5480
201203	261	115361	49876	89462	32549	16374	5249
201204	244	105756	46623	88573	30195	15747	4969
201205	226	107662	47105	98508	33854	16990	5543
201206	257	101000	40445	60586	19554	13438	3948
201207	261	104377	40986	49570	15767	12641	3569
201208	302	105896	41018	55295	17994	12979	4053
201209	292	107122	41878	82503	30920	14485	4905
201210	221	114596	44392	110400	44784	18131	6769
201211	203	116985	42131	98626	38291	16478	5948
201212	255	104835	36903	74722	25923	13222	4062
201301	268	106006	40982	82776	28450	14188	4215
201302	186	107232	38633	84044	31345	15074	5194
201303	236	120347	41747	76052	29645	15440	5621
201304	264	104255	40553	76264	28089	14348	4694
201305	244	102253	39608	85717	31410	15966	5524
201306	209	93174	34777	49729	17194	12044	3854
201307	254	111524	39996	41387	11142	14776	3109
201308	234	123825	41867	43104	12147	21930	4996
