timestamp	variable	value
200601	spam	168
200602	spam	152
200603	spam	265
200604	spam	190
200605	spam	279
200606	spam	256
200607	spam	251
200608	spam	214
200609	spam	305
200610	spam	353
200611	spam	378
200612	spam	395
200701	spam	650
200702	spam	500
200703	spam	335
200704	spam	307
200705	spam	262
200706	spam	288
200707	spam	293
200708	spam	347
200709	spam	267
200710	spam	245
200711	spam	262
200712	spam	262
200801	spam	231
200802	spam	204
200803	spam	302
200804	spam	271
200805	spam	272
200806	spam	260
200807	spam	276
200808	spam	265
200809	spam	285
200810	spam	303
200811	spam	253
200812	spam	304
200901	spam	275
200902	spam	282
200903	spam	348
200904	spam	361
200905	spam	346
200906	spam	542
200907	spam	589
200908	spam	442
200909	spam	345
200910	spam	259
200911	spam	220
200912	spam	322
201001	spam	282
201002	spam	237
201003	spam	305
201004	spam	396
201005	spam	362
201006	spam	445
201007	spam	351
201008	spam	303
201009	spam	313
201010	spam	316
201011	spam	356
201012	spam	354
201101	spam	358
201102	spam	310
201103	spam	319
201104	spam	246
201105	spam	255
201106	spam	310
201107	spam	320
201108	spam	415
201109	spam	317
201110	spam	393
201111	spam	321
201112	spam	350
201201	spam	369
201202	spam	425
201203	spam	354
201204	spam	605
201205	spam	646
201206	spam	814
201207	spam	581
201208	spam	615
201209	spam	546
201210	spam	501
201211	spam	490
201212	spam	588
201301	spam	718
201302	spam	677
201303	spam	694
201304	spam	492
201305	spam	676
201306	spam	858
201307	spam	885
201308	spam	1180
201309	spam	1088
201310	spam	883
201311	spam	31
200601	disruption	7057
200602	disruption	7668
200603	disruption	8885
200604	disruption	7833
200605	disruption	10603
200606	disruption	6611
200607	disruption	5587
200608	disruption	6017
200609	disruption	8370
200610	disruption	10586
200611	disruption	10729
200612	disruption	8169
200701	disruption	9959
200702	disruption	10911
200703	disruption	12739
200704	disruption	10925
200705	disruption	11154
200706	disruption	7673
200707	disruption	6017
200708	disruption	6932
200709	disruption	10463
200710	disruption	11749
200711	disruption	10365
200712	disruption	7760
200801	disruption	10582
200802	disruption	10642
200803	disruption	9820
200804	disruption	10017
200805	disruption	9102
200806	disruption	5890
200807	disruption	4513
200808	disruption	5612
200809	disruption	9248
200810	disruption	10047
200811	disruption	7607
200812	disruption	6444
200901	disruption	8254
200902	disruption	7372
