timestamp	variable	value
200601	disruption	7057
200601	misc	1778
200601	proxy	45
200601	sockpuppet	218
200601	spam	168
200601	username	472
200602	disruption	7668
200602	misc	3005
200602	proxy	1033
200602	sockpuppet	279
200602	spam	152
200602	username	577
200603	disruption	8885
200603	misc	2412
200603	proxy	716
200603	sockpuppet	259
200603	spam	265
200603	username	674
200604	disruption	7833
200604	misc	4195
200604	proxy	726
200604	sockpuppet	380
200604	spam	190
200604	username	630
200605	disruption	10603
200605	misc	3062
200605	proxy	189
200605	sockpuppet	307
200605	spam	279
200605	username	645
200606	disruption	6611
200606	misc	2879
200606	proxy	85
200606	sockpuppet	356
200606	spam	256
200606	username	865
200607	disruption	5587
200607	misc	1862
200607	proxy	264
200607	sockpuppet	571
200607	spam	251
200607	username	1100
200608	disruption	6017
200608	misc	2274
200608	proxy	16
200608	sockpuppet	614
200608	spam	214
200608	username	1685
200609	disruption	8370
200609	misc	1767
200609	proxy	20
200609	sockpuppet	460
200609	spam	305
200609	username	1482
200610	disruption	10586
200610	misc	1908
200610	proxy	389
200610	sockpuppet	437
200610	spam	353
200610	username	1325
200611	disruption	10729
200611	misc	1489
200611	proxy	148
200611	sockpuppet	421
200611	spam	378
200611	username	1116
200612	disruption	8169
200612	misc	1025
200612	proxy	34
200612	sockpuppet	620
200612	spam	395
200612	username	723
200701	disruption	9959
200701	misc	1602
200701	proxy	132
200701	sockpuppet	660
200701	spam	650
200701	username	660
200702	disruption	10911
200702	misc	1160
200702	proxy	147
200702	sockpuppet	640
200702	spam	500
200702	username	972
200703	disruption	12739
200703	misc	1092
200703	proxy	90
200703	sockpuppet	724
200703	spam	335
200703	username	977
200704	disruption	10925
200704	misc	1253
200704	proxy	94
200704	sockpuppet	925
200704	spam	307
200704	username	591
200705	disruption	11154
200705	misc	7221
200705	proxy	728
200705	sockpuppet	672
200705	spam	262
200705	username	573
200706	disruption	7673
200706	misc	1476
200706	proxy	605
200706	sockpuppet	666
200706	spam	288
200706	username	512
200707	disruption	6017
200707	misc	877
200707	proxy	617
200707	sockpuppet	586
200707	spam	293
200707	username	615
200708	disruption	6932
200708	misc	1345
200708	proxy	1918
200708	sockpuppet	554
200708	spam	347
200708	username	548
200709	disruption	10463
200709	misc	2975
200709	proxy	2206
200709	sockpuppet	629
200709	spam	267
200709	username	550
200710	disruption	11749
200710	misc	649
200710	proxy	176
200710	sockpuppet	752
200710	spam	245
200710	username	583
200711	disruption	10365
200711	misc	463
200711	proxy	357
200711	sockpuppet	670
200711	spam	262
200711	username	611
