timestamp	variable	value
200601	disruption	809
200601	misc	181
200601	proxy	5
200601	sockpuppet	23
200601	spam	19
200601	username	52
200602	disruption	672
200602	misc	256
200602	proxy	88
200602	sockpuppet	26
200602	spam	9
200602	username	38
200603	disruption	736
200603	misc	197
200603	proxy	57
200603	sockpuppet	18
200603	spam	27
200603	username	54
200604	disruption	594
200604	misc	334
200604	proxy	63
200604	sockpuppet	35
200604	spam	13
200604	username	50
200605	disruption	748
200605	misc	241
200605	proxy	9
200605	sockpuppet	29
200605	spam	19
200605	username	43
200606	disruption	658
200606	misc	279
200606	proxy	10
200606	sockpuppet	34
200606	spam	22
200606	username	86
200607	disruption	635
200607	misc	218
200607	proxy	29
200607	sockpuppet	60
200607	spam	28
200607	username	119
200608	disruption	628
200608	misc	232
200608	proxy	1
200608	sockpuppet	57
200608	spam	23
200608	username	148
200609	disruption	748
200609	misc	160
200609	sockpuppet	34
200609	spam	21
200609	username	126
200610	disruption	773
200610	misc	128
200610	proxy	29
200610	sockpuppet	28
200610	spam	25
200610	username	106
200611	disruption	816
200611	misc	109
200611	proxy	11
200611	sockpuppet	28
200611	spam	30
200611	username	95
200612	disruption	825
200612	misc	98
200612	proxy	3
200612	sockpuppet	56
200612	spam	39
200612	username	68
200701	disruption	779
200701	misc	122
200701	proxy	9
200701	sockpuppet	44
200701	spam	67
200701	username	68
200702	disruption	824
200702	misc	80
200702	proxy	7
200702	sockpuppet	46
200702	spam	43
200702	username	89
200703	disruption	879
200703	misc	68
200703	proxy	3
200703	sockpuppet	45
200703	spam	27
200703	username	67
200704	disruption	870
200704	misc	83
200704	proxy	9
200704	sockpuppet	61
200704	spam	22
200704	username	44
200705	disruption	578
200705	misc	397
200705	proxy	32
200705	sockpuppet	35
200705	spam	12
200705	username	35
200706	disruption	725
200706	misc	149
200706	proxy	69
200706	sockpuppet	62
200706	spam	26
200706	username	58
200707	disruption	727
200707	misc	111
200707	proxy	65
200707	sockpuppet	77
200707	spam	28
200707	username	81
200708	disruption	649
200708	misc	130
200708	proxy	174
200708	sockpuppet	42
200708	spam	33
200708	username	61
200709	disruption	679
200709	misc	177
200709	proxy	144
200709	sockpuppet	44
200709	spam	12
200709	username	33
200710	disruption	937
200710	misc	49
200710	proxy	11
200710	sockpuppet	44
200710	spam	12
200710	username	36
200711	disruption	883
200711	misc	45
200711	proxy	21
200711	sockpuppet	55
200711	spam	29
200711	username	56
200712	disruption	861
200712	misc	38
200712	proxy	29
200712	sockpuppet	77
200712	spam	24
200712	username	60
200801	disruption	904
200801	misc	39
200801	proxy	34
200801	sockpuppet	53
200801	spam	18
200801	username	41
200802	disruption	921
200802	misc	37
200802	proxy	17
200802	sockpuppet	58
200802	spam	15
200802	username	41
200803	disruption	820
200803	misc	54
200803	proxy	34
200803	sockpuppet	88
200803	spam	37
200803	username	56
200804	disruption	735
200804	misc	213
200804	proxy	36
200804	sockpuppet	48
200804	spam	19
200804	username	38
200805	disruption	739
200805	misc	47
200805	proxy	151
200805	sockpuppet	97
200805	spam	21
200805	username	34
200806	disruption	745
200806	misc	62
200806	proxy	101
200806	sockpuppet	112
200806	spam	27
200806	username	42
200807	disruption	525
200807	misc	31
200807	proxy	297
200807	sockpuppet	182
200807	spam	24
200807	username	30
200808	disruption	724
200808	misc	26
200808	proxy	128
200808	sockpuppet	155
200808	spam	25
200808	username	31
200809	disruption	818
200809	misc	16
200809	proxy	68
200809	sockpuppet	123
200809	spam	33
200809	username	31
200810	disruption	848
200810	misc	20
200810	proxy	94
200810	sockpuppet	83
200810	spam	18
200810	username	26
200811	disruption	869
200811	misc	37
200811	proxy	51
200811	sockpuppet	89
200811	spam	18
200811	username	25
200812	disruption	651
200812	misc	27
200812	proxy	281
200812	sockpuppet	75
200812	spam	35
200812	username	20
200901	disruption	601
200901	misc	31
200901	proxy	317
200901	sockpuppet	97
200901	spam	15
200901	username	28
200902	disruption	453
200902	misc	77
200902	proxy	384
200902	sockpuppet	126
200902	spam	27
200902	username	22
200903	disruption	505
200903	misc	43
200903	proxy	405
200903	sockpuppet	87
200903	spam	21
200903	username	28
200904	disruption	278
200904	misc	17
200904	proxy	712
200904	sockpuppet	50
200904	spam	9
200904	username	23
200905	disruption	328
200905	misc	32
200905	proxy	631
200905	sockpuppet	58
200905	spam	26
200905	username	14
200906	disruption	259
200906	misc	16
200906	proxy	710
200906	sockpuppet	43
200906	spam	30
200906	username	31
200907	disruption	445
200907	misc	15
200907	proxy	337
200907	sockpuppet	145
200907	spam	85
200907	username	62
200908	disruption	682
200908	misc	37
200908	proxy	81
200908	sockpuppet	148
200908	spam	79
200908	username	62
200909	disruption	808
200909	misc	32
200909	proxy	38
200909	sockpuppet	105
200909	spam	58
200909	username	48
200910	disruption	356
200910	misc	8
200910	proxy	660
200910	sockpuppet	43
200910	spam	11
200910	username	11
200911	disruption	365
200911	misc	9
200911	proxy	636
200911	sockpuppet	47
200911	spam	7
200911	username	25
200912	disruption	298
200912	misc	5
200912	proxy	709
200912	sockpuppet	58
200912	spam	12
200912	username	7
201001	disruption	273
201001	misc	2
201001	proxy	761
201001	sockpuppet	27
201001	spam	9
201001	username	17
201002	disruption	379
201002	misc	8
201002	proxy	632
201002	sockpuppet	35
201002	spam	16
201002	username	19
201003	disruption	372
201003	misc	12
201003	proxy	635
201003	sockpuppet	39
201003	spam	16
201003	username	15
201004	disruption	542
201004	misc	17
201004	proxy	410
201004	sockpuppet	69
201004	spam	39
201004	username	12
201005	disruption	449
201005	misc	10
201005	proxy	509
201005	sockpuppet	60
201005	spam	31
201005	username	30
201006	disruption	388
201006	misc	11
201006	proxy	570
201006	sockpuppet	68
201006	spam	35
201006	username	17
201007	disruption	422
201007	misc	23
201007	proxy	482
201007	sockpuppet	93
201007	spam	31
201007	username	38
201008	disruption	342
201008	misc	11
201008	proxy	599
201008	sockpuppet	76
201008	spam	24
201008	username	37
201009	disruption	376
201009	misc	2
201009	proxy	599
201009	sockpuppet	53
201009	spam	25
201009	username	34
201010	disruption	337
201010	misc	6
201010	proxy	654
201010	sockpuppet	52
201010	spam	17
201010	username	23
201011	disruption	360
201011	misc	9
201011	proxy	642
201011	sockpuppet	43
201011	spam	18
201011	username	17
201012	disruption	449
201012	misc	9
201012	proxy	513
201012	sockpuppet	59
201012	spam	34
201012	username	25
201101	disruption	252
201101	misc	8
201101	proxy	758
201101	sockpuppet	41
201101	spam	14
201101	username	16
201102	disruption	262
201102	misc	12
201102	proxy	754
201102	sockpuppet	34
201102	spam	17
201102	username	10
201103	disruption	223
201103	misc	5
201103	proxy	772
201103	sockpuppet	49
201103	spam	20
201103	username	20
201104	disruption	302
201104	misc	11
201104	proxy	663
201104	sockpuppet	75
201104	spam	20
201104	username	18
201105	disruption	370
201105	misc	3
201105	proxy	604
201105	sockpuppet	62
201105	spam	26
201105	username	24
201106	disruption	349
201106	misc	4
201106	proxy	631
201106	sockpuppet	64
201106	spam	24
201106	username	17
201107	disruption	360
201107	misc	8
201107	proxy	611
201107	sockpuppet	63
201107	spam	23
201107	username	24
201108	disruption	77
201108	misc	6
201108	proxy	965
201108	sockpuppet	23
201108	spam	7
201108	username	11
201109	disruption	272
201109	misc	5
201109	proxy	774
201109	sockpuppet	22
201109	spam	9
201109	username	7
201110	disruption	254
201110	misc	4
201110	proxy	784
201110	sockpuppet	25
201110	spam	15
201110	username	7
201111	disruption	196
201111	misc	1
201111	proxy	853
201111	sockpuppet	19
201111	spam	14
201111	username	6
201112	disruption	294
201112	misc	12
201112	proxy	700
201112	sockpuppet	48
201112	spam	22
201112	username	13
201201	disruption	343
201201	misc	9
201201	proxy	652
201201	sockpuppet	41
201201	spam	28
201201	username	16
201202	disruption	396
201202	misc	8
201202	proxy	578
201202	sockpuppet	59
201202	spam	25
201202	username	23
201203	disruption	350
201203	misc	6
201203	proxy	662
201203	sockpuppet	46
201203	spam	19
201203	username	6
201204	disruption	345
201204	misc	8
201204	proxy	618
201204	sockpuppet	58
201204	spam	46
201204	username	14
201205	disruption	341
201205	misc	2
201205	proxy	637
201205	sockpuppet	53
201205	spam	40
201205	username	16
201206	disruption	368
201206	misc	11
201206	proxy	563
201206	sockpuppet	65
201206	spam	54
201206	username	28
201207	disruption	453
201207	misc	11
201207	proxy	493
201207	sockpuppet	76
201207	spam	44
201207	username	12
201208	disruption	188
201208	proxy	861
201208	sockpuppet	22
201208	spam	13
201208	username	5
201209	disruption	127
201209	misc	1
201209	proxy	928
201209	sockpuppet	18
201209	spam	11
201209	username	4
201210	disruption	168
201210	misc	7
201210	proxy	884
201210	sockpuppet	12
201210	spam	12
201210	username	6
201211	disruption	177
201211	misc	4
201211	proxy	856
201211	sockpuppet	19
201211	spam	18
201211	username	15
201212	disruption	356
201212	misc	15
201212	proxy	562
201212	sockpuppet	63
201212	spam	58
201212	username	35
201301	disruption	241
201301	misc	6
201301	proxy	738
