"month"	"hits"	"regex"	"usergroup"
"200601"	168	"spam"	"anonymous"
"200602"	152	"spam"	"anonymous"
"200603"	265	"spam"	"anonymous"
"200604"	190	"spam"	"anonymous"
"200605"	279	"spam"	"anonymous"
"200606"	256	"spam"	"anonymous"
"200607"	251	"spam"	"anonymous"
"200608"	214	"spam"	"anonymous"
"200609"	305	"spam"	"anonymous"
"200610"	353	"spam"	"anonymous"
"200611"	378	"spam"	"anonymous"
"200612"	395	"spam"	"anonymous"
"200701"	650	"spam"	"anonymous"
"200702"	500	"spam"	"anonymous"
"200703"	335	"spam"	"anonymous"
"200704"	307	"spam"	"anonymous"
"200705"	262	"spam"	"anonymous"
"200706"	288	"spam"	"anonymous"
"200707"	293	"spam"	"anonymous"
"200708"	347	"spam"	"anonymous"
"200709"	267	"spam"	"anonymous"
"200710"	245	"spam"	"anonymous"
"200711"	262	"spam"	"anonymous"
"200712"	262	"spam"	"anonymous"
"200801"	231	"spam"	"anonymous"
"200802"	204	"spam"	"anonymous"
"200803"	302	"spam"	"anonymous"
"200804"	271	"spam"	"anonymous"
"200805"	272	"spam"	"anonymous"
"200806"	260	"spam"	"anonymous"
"200807"	276	"spam"	"anonymous"
"200808"	265	"spam"	"anonymous"
"200809"	285	"spam"	"anonymous"
"200810"	303	"spam"	"anonymous"
"200811"	253	"spam"	"anonymous"
"200812"	304	"spam"	"anonymous"
"200901"	275	"spam"	"anonymous"
"200902"	282	"spam"	"anonymous"
"200903"	348	"spam"	"anonymous"
"200904"	361	"spam"	"anonymous"
"200905"	346	"spam"	"anonymous"
"200906"	542	"spam"	"anonymous"
"200907"	589	"spam"	"anonymous"
"200908"	442	"spam"	"anonymous"
"200909"	345	"spam"	"anonymous"
"200910"	259	"spam"	"anonymous"
"200911"	220	"spam"	"anonymous"
"200912"	322	"spam"	"anonymous"
"201001"	282	"spam"	"anonymous"
"201002"	237	"spam"	"anonymous"
"201003"	305	"spam"	"anonymous"
"201004"	396	"spam"	"anonymous"
"201005"	362	"spam"	"anonymous"
"201006"	445	"spam"	"anonymous"
"201007"	351	"spam"	"anonymous"
"201008"	303	"spam"	"anonymous"
"201009"	313	"spam"	"anonymous"
"201010"	316	"spam"	"anonymous"
"201011"	356	"spam"	"anonymous"
"201012"	354	"spam"	"anonymous"
"201101"	358	"spam"	"anonymous"
"201102"	310	"spam"	"anonymous"
"201103"	319	"spam"	"anonymous"
"201104"	246	"spam"	"anonymous"
"201105"	255	"spam"	"anonymous"
"201106"	310	"spam"	"anonymous"
"201107"	320	"spam"	"anonymous"
"201108"	415	"spam"	"anonymous"
"201109"	318	"spam"	"anonymous"
"201110"	393	"spam"	"anonymous"
"201111"	321	"spam"	"anonymous"
"201112"	350	"spam"	"anonymous"
"201201"	369	"spam"	"anonymous"
"201202"	425	"spam"	"anonymous"
"201203"	354	"spam"	"anonymous"
"201204"	605	"spam"	"anonymous"
"201205"	646	"spam"	"anonymous"
"201206"	814	"spam"	"anonymous"
"201207"	581	"spam"	"anonymous"
"201208"	615	"spam"	"anonymous"
