"block_timestamp"	"reason"	"userid"	"matched"
"200611"	"respamming talk pages"	2106653	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9455106	1
"201112"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	15914611	1
"201104"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	14381406	1
"200701"	"spamming"	3323770	1
"200811"	"{{usernameblock}}: promotional account, per [[Special:DeletedContributions/Displaystar]]."	8397600	1
"200605"	"spam"	1373467	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7354624	1
"201002"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	5244210	1
"201112"	"Abusing [[WP:Sock puppetry|multiple accounts]]: socking as [[user:Pinespress]] to promote authors and avoid SDPatrolbot"	15752811	1
"200805"	"[[WP:Spam|Spamming]] links to external sites"	7189301	1
"200701"	"Spammer"	1412074	1
"201007"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	12694090	1
"200708"	"Spam, block evasion"	5025778	1
"200811"	"{{spamusernameblock}}"	8213778	1
"200707"	"[[Wikipedia:Spam|Spamming]] links to external sites"	4931814	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7069742	1
"201011"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	7719622	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	210035	1
"200802"	"[[Wikipedia:Spam|Spamming]] links to external sites: 3RR and NPA vios on [[Image:Pio.gif]], Disruption after warning."	4459901	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8940748	1
"200612"	"Spam"	2217437	1
"201105"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	459815	1
"200806"	"[[WP:Spam|Spamming]] links to external sites"	7283438	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9769286	1
"200809"	"{{spamusernameblock}}"	6810777	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7630730	1
"200808"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	5230301	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	6740123	1
"200811"	"{{spamusernameblock}}"	8349747	1
"200608"	"repeated spamming despite multiple warnings"	2004820	1
"200711"	"aggressive spamming"	5855485	1
"200701"	"continuing to post spam despite warning 20 Jan"	1209666	1
"200611"	"Spam"	2602256	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	3808706	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	5390221	1
"200704"	"spamming after spam 4"	3793345	1
"200807"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7505753	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	5446183	1
"200904"	"[[WP:Spam|Spamming]] links to external sites"	9296747	1
"201102"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	13229777	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7460851	1
"200604"	"spammer"	1202348	1
"200812"	"[[WP:Disruptive editing|Disruptive editing]]: repeated advertising in articles, does not respond to talk page warnings"	4379311	1
"200810"	"{{spamusernameblock}}"	8179635	1
"200610"	"repeated vanity vandalism and/or linkspamming"	392882	1
"201005"	"[[WP:Spam|Spamming]] links to external sites"	12351801	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	5737765	1
"201004"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	12213835	1
"200810"	"[[WP:Spam|Spamming]] links to external sites"	4916652	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8962782	1
"200805"	"[[WP:Spam|Spamming]] links to external sites"	7018460	1
"200704"	"[[WP:COI]], [[WP:SPAM]], [[WP:NPOV]], [[WP:NOT]], [[WP:POINT]], and gaming the system"	2779531	1
"200704"	"Repeated creation of spam pages"	2303460	1
"200711"	"Creating spam articles"	4393832	1
"200801"	"[[Wikipedia:Spam|Spamming]] links to external sites"	6064621	1
"200804"	"[[Wikipedia:Spam|Spamming]] links to external sites: Also editing as [[User:24.74.241.111]] (currently blocked for same spam links)"	6137124	1
"200701"	"linkspamming and or vandlism"	3312312	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7306493	1
"200802"	"repeated re-creation of deleted promotional material in inappropriate article name; no attempt to engage in discussion"	6438473	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7569874	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9704361	1
"200712"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5955061	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8604861	1
"201107"	"[[WP:SOCK|Sock- and/or meat-puppetry]] with [[User:Capadonna33]], [[User:Pompeico]], [[User:Pandora07]]. Apparent [[WP:COI]]/promotional effort"	14904448	1
"200701"	"spam"	2055182	1
"200811"	"{{spamusernameblock}}"	8313196	1
"201205"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	15647494	1
"200601"	"Please don't spam AFD nominations to solicit votes."	166035	1
"200810"	"{{spamusernameblock}}"	8032327	1
"200711"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5816359	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7109410	1
"200704"	"spam, [[WP:3RR]]"	1707454	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7282321	1
"200810"	"{{spamusernameblock}}"	7989236	1
"200710"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5578105	1
"200907"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	10033770	1
"200809"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7917136	1
"200708"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5186844	1
"200705"	"[[Wikipedia:Spam|Spamming]] links to external sites"	4514556	1
"200701"	"link spamming"	3287677	1
"200707"	"[[Wikipedia:Spam|Spamming]] links to external sites: Continued spamming"	2963665	1
"200810"	"{{spamusernameblock}}"	8156389	1
"200603"	"email spam vandal, probably sockpuppet"	1168558	1
"200610"	"spamming"	2577599	1
"201108"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes: [[WP:SPA]]"	15076386	1
"200902"	"[[WP:Spam|Spamming]] links to external sites"	8897112	1
"201203"	"[[WP:Spam|Spamming]] links to external sites"	16444531	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	769065	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	1686307	1
"200709"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5377140	1
"200809"	"{{spamusernameblock}}"	7943760	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7415719	1
"200809"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7401754	1
"200902"	"[[WP:Spam|Spamming]] links to external sites"	7890819	1
"200802"	"[[Wikipedia:Spam|Spamming]] links to external sites"	6375012	1
"200705"	"Spammer"	3949890	1
"200709"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5253701	1
"201110"	"[[WP:Spam|Spamming]] links to external sites"	11216635	1
"200611"	"Spam"	2278159	1
"201106"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	14664554	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8545567	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8805308	1
"201205"	"[[WP:Edit warring|Edit warring]]: EW, advertising, [[WP:WTAF]] on same name"	10074022	1
"201110"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	15497929	1
"200607"	"spam"	1797663	1
"200704"	"spamming after warning4"	4010610	1
"201111"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes: filter log"	15668410	1
"200809"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7966010	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7170558	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9724236	1
"200804"	"[[WP:Spam|Spam]] / [[WP:Advertising|Advertising]]-only account: self-promotion"	3618823	1
"200810"	"{{spamusernameblock}}"	8086193	1
"200609"	"Spam only account, leaving warning"	1723016	1
"200809"	"[[WP:Spam|Spamming]] links to external sites"	7807003	1
"200904"	"[[WP:Spam|Spamming]] links to external sites"	9378015	1
"200803"	"[[Wikipedia:Spam|Spamming]] links to external sites"	6587804	1
"200712"	"advertising"	5874482	1
"200709"	"[[Wikipedia:Three-revert rule|Three-revert rule]] violation: Continued spamming and adding content related to webswell.com"	4453374	1
"200805"	"[[WP:Spam|Spamming]] links to external sites"	5744850	1
"200711"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5670284	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	1125250	1
"200712"	"[[Wikipedia:Spam|Spamming]] links to external sites"	3772633	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	3165740	1
"200809"	"{{spamusernameblock}}"	7865422	1
"200802"	"[[Wikipedia:Spam|Spamming]] links to external sites"	6397048	1
"201102"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	10496540	1
"200802"	"[[Wikipedia:Spam|Spamming]] links to external sites: immidiatly spammed upon return from block"	6320256	1
"200811"	"spammer"	8262262	1
"200810"	"{{spamusernameblock}}"	8185984	1
"200906"	"{{spamusernameblock}}"	9791759	1
"200608"	"Spammer"	2036696	1
"200908"	"[[Wikipedia:Spam]]"	8878775	1
"200810"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account: spammer series"	8024460	1
"200803"	"[[Wikipedia:Spam|Spam]] / [[WP:Advertising|Advertising]]-only account"	2139545	1
"200810"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8122976	1
"200607"	"spam"	1757259	1
"200605"	"All contributions have been insertion of spam continued after warnings"	1452198	1
"200810"	"{{spamusernameblock}}"	8000271	1
"200612"	"spam"	2059008	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	2115794	1
"200806"	"[[WP:Spam|Spamming]] links to external sites: inappropriate edits, not discussing after warning"	5305574	1
"200612"	"repeated spamming after warnings"	2957639	1
"200802"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5745965	1
"200810"	"{{spamusernameblock}}"	7444631	1
"201006"	"adding spammish external links while unreceptive to comments"	12597940	1
"200811"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7972161	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	1631388	1
"200907"	"[[WP:Spam|Spamming]] links to external sites"	9942442	1
"200811"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account: sock of blocked user"	8305357	1
"201211"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	17916308	1
"200605"	"linkspam"	1438387	1
"200611"	"spaming with youtube"	2835188	1
"200904"	"repeatedly recreating [[WP:SPAM|spammy]] articles"	9520336	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9956449	1
"200810"	"{{spamusername}}"	8178195	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	6742139	1
"200701"	"spam"	3110653	1
"200607"	"edit warring and spamming on [[Soy sauce]]"	1893548	1
"200701"	"Spam"	2787727	1
"200910"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes: incivility"	4352239	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	6921757	1
"200809"	"{{spamusernameblock}}"	7915379	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	6583421	1
"200610"	"spamming after being told to stop"	2433442	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7357780	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9884669	1
"201202"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes: Adding a page related to Rankmaniac"	16197078	1
"200812"	"[[WP:Spam|Spamming]] links to external sites"	8492049	1
"200804"	"[[WP:Spam|Spamming]] links to external sites"	6553312	1
"201207"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	17129719	1
"201110"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	15512933	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	1185008	1
"200611"	"persistent linkspamming and posting of copyrighted text"	2673937	1
"200604"	"blocked after multiple warnings about copyright violations and linkspam"	1155455	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9575686	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7300391	1
"200907"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	614918	1
"200608"	"continued advertising"	1781443	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7445788	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	4846652	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8075479	1
"200901"	"Spammer"	8627549	1
"200803"	"[[Wikipedia:Spam|Spam]] / [[WP:Advertising|Advertising]]-only account"	6693643	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7446812	1
"200705"	"misusing Wikipedia for promotion"	4325265	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9185284	1
"200807"	"[[WP:Edit war|Edit warring]]: Tendentious promotion of a single POV across a range of articles, per a complaint at [[WP:AN3]]"	7296125	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9636118	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	3189297	1
"200810"	"{{spamusernameblock}}"	8132355	1
"201211"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	17377570	1
"200810"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account: spammer series"	8001822	1
"200810"	"{{spamusernameblock}}"	8040000	1
"200704"	"Vandalism: Repeated creation of spam/copyvio/COI articles."	4203362	1
"200809"	"[[WP:Spam|Spamming]] links to external sites"	7642440	1
"200909"	"spam"	1773220	1
"201212"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	16351484	1
"201102"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	11680354	1
"200907"	"[[WP:Spam|Spamming]] links to external sites"	8739393	1
"200710"	"{{UsernameBlocked}}: promotional account"	5635295	1
"200603"	"spamming"	1140679	1
"200709"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5323529	1
"200810"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account: spammer series"	7997727	1
"201105"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	14436481	1
"200602"	"Spamming"	996030	1
"201107"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	4850555	1
"200807"	"[[WP:Spam|Spamming]] links to external sites"	2996615	1
"200901"	"[[WP:Spam|Spamming]] links to external sites"	8651894	1
"200609"	"link spamming"	2294286	1
"200807"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7429576	1
"200703"	"persistent spamming"	3925346	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7753532	1
"200605"	"Advertising, adding inappropriate content to [[List of animated feature films]]"	821177	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7572247	1
"200901"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account: see contribs; SPA"	8775648	1
"200810"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8153401	1
"201011"	"[[WP:Disruptive editing|Disruptive editing]]: Using Wikipedia for  [[WP:Advertising|advertising]] purposes"	13423224	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	6856414	1
"200810"	"[[WP:Disruptive editing|Disruptive editing]]: repeated copyright violations / recreation of advertisement"	7627783	1
"200606"	"spamming"	1562576	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7349006	1
"200610"	"{{spam5}}"	2248780	1
"200810"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7870501	1
"201011"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	13409466	1
"200606"	"Account seems to exist for spamming, continued after two warnings"	1700392	1
"200811"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account: no interest in collaboration & vandalism"	8096291	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7787295	1
"201108"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	7137174	1
"200702"	"spam on GW"	3422600	1
"200809"	"{{spamusernameblock}}"	7916876	1
"201112"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes: repeated addition of blogs and similar [[WP:ELNO]] links"	12789057	1
"200710"	"No communication at all; failure to understand basic policy/guidelines; constant reversions; spam"	3145343	1
"200706"	"[[Wikipedia:Spam|Spamming]] links to external sites"	4615718	1
"200608"	"spam"	1861356	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7019986	1
"200710"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5389662	1
"200701"	"Spam"	3218315	1
"200911"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	10747904	1
"200602"	"spamming"	889848	1
"200811"	"{{spamusernameblock}}"	8308142	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	6691359	1
"200611"	"spammer"	2850100	1
"200706"	"[[Wikipedia:Spam|Spamming]] links to external sites"	4577143	1
"200708"	"[[Wikipedia:Spam|Spamming]] links to external sites"	740090	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8633081	1
"200809"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7928939	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	9332307	1
"200710"	"[[Wikipedia:Spam|Spamming]] links to external sites: previously advised and progressively warning re pushing of product and commercial website"	3084608	1
"200906"	"{{spamusernameblock}}"	9925796	1
"201112"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	8222332	1
"201201"	"[[WP:Spam|Spamming]] links to external sites"	15003037	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8690052	1
"200808"	"[[WP:Disruptive editing|Disruptive editing]]: inexplicable spamming of [[National Park Service]] links despite requests to stop and discuss these edits"	7678309	1
"200810"	"{{spamusernameblock}}"	8188455	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	6874593	1
"200611"	"spamming after warning"	2759771	1
"200811"	"{{spamusernameblock}}"	8267987	1
"200810"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	5412299	1
"200701"	"spam"	1952899	1
"200810"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account: Abuse of {{unblock}} and email"	7437306	1
"200703"	"Spamming after a final warning."	2328815	1
"201011"	"Using Wikipedia for [[WP:Spam|spam]] or [[WP:Advertising|advertising]] purposes"	13515767	1
"200604"	"jewsdidwtc spam"	1234066	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	618882	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7790182	1
"200709"	"[[Wikipedia:Spam|Spamming]] links to external sites"	5301909	1
"200810"	"[[WP:Spam|Spamming]] links to external sites"	7963700	1
"201111"	"User appears to be using Wikipedia for extended testing/promotion"	15677587	1
"200809"	"[[WP:Spam|Spamming]] links to external sites"	7944415	1
"200806"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7311317	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7707619	1
"200810"	"{{spamusernameblock}}"	7995704	1
"200704"	"spamming - please see [[WP:SPAM|our guidelines on spamming]] and our [[WP:EL|guidelines on external links]]."	4109748	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	6796898	1
"200809"	"{{spamusernameblock}}"	7974329	1
"200611"	"spamming Wikipedia"	2813841	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	2532175	1
"200610"	"Porn spam-only account"	2373915	1
"200809"	"single purpose spamming account / sock of [[user:Stupidmoney1988]]"	7960929	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7263526	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	7893165	1
"200606"	"spamming talk pages"	504515	1
"200906"	"[[WP:Spam|Spam]] / [[WP:Advertising|advertising]]-only account"	8505939	1
"200710"	"[[Wikipedia:Spam|Spamming]] links to external sites"	3413012	1
"200606"	"Deliberately introducing misleading edits, link spam"	584957	1
"200810"	"{{spamusernameblock}}"	8071777	1
"200712"	"[[Wikipedia:Vandalism|Vandalism]]-only account: Offensive"	5941254	2
"200608"	"First action back is to continue image copyright and fair-use violations"	928746	2
"200710"	"Repeated [[Wikipedia:Copyright_violations|violations]] of Wikimedia copyright policy"	5479742	2
"200906"	"[[WP:Disruptive editing|Disruptive editing]]:&#32;Refusal to recognize that ArbCom said ""don't do that""."	3486516	2
"200703"	"Briefly blocked to get the user's attention - creation of inappropriate articles"	3633556	2
