block_timestamp	variable	value
200601	spam	26
200602	spam	26
200603	spam	30
200604	spam	27
200605	spam	50
200606	spam	94
200607	spam	119
200608	spam	94
200609	spam	174
200610	spam	198
200611	spam	324
200612	spam	173
200701	spam	197
200702	spam	259
200703	spam	332
200704	spam	274
200705	spam	215
200706	spam	212
200707	spam	285
200708	spam	391
200709	spam	329
200710	spam	302
200711	spam	259
200712	spam	230
200801	spam	305
200802	spam	333
200803	spam	404
200804	spam	478
200805	spam	594
200806	spam	556
200807	spam	747
200808	spam	658
200809	spam	732
200810	spam	861
200811	spam	627
200812	spam	739
200901	spam	1045
200902	spam	1116
200903	spam	1088
200904	spam	1375
200905	spam	1304
200906	spam	2530
200907	spam	1871
200908	spam	1547
200909	spam	1191
200910	spam	929
200911	spam	771
200912	spam	1184
201001	spam	1038
201002	spam	917
201003	spam	1139
201004	spam	1491
201005	spam	1509
201006	spam	1815
201007	spam	1278
201008	spam	1112
201009	spam	1245
201010	spam	1283
201011	spam	1573
201012	spam	1594
201101	spam	1581
201102	spam	1325
201103	spam	1450
201104	spam	1032
201105	spam	1020
201106	spam	1344
201107	spam	1347
201108	spam	1815
201109	spam	1447
201110	spam	1610
201111	spam	1445
201112	spam	1564
201201	spam	1497
201202	spam	1494
201203	spam	1478
201204	spam	1325
201205	spam	1949
201206	spam	1587
201207	spam	1721
201208	spam	1509
201209	spam	1766
201210	spam	2199
201211	spam	1531
201212	spam	1744
201301	spam	1918
201302	spam	1824
201303	spam	2045
201304	spam	2023
201305	spam	2005
201306	spam	2295
201307	spam	2146
201308	spam	2127
200601	bad.edit	1488
200602	bad.edit	1586
200603	bad.edit	1866
200604	bad.edit	1745
200605	bad.edit	2205
200606	bad.edit	1672
200607	bad.edit	2129
200608	bad.edit	2347
200609	bad.edit	2422
200610	bad.edit	2906
200611	bad.edit	3469
200612	bad.edit	3301
200701	bad.edit	3744
200702	bad.edit	3928
200703	bad.edit	4652
200704	bad.edit	4081
200705	bad.edit	4158
200706	bad.edit	3172
200707	bad.edit	2644
200708	bad.edit	2617
200709	bad.edit	2994
200710	bad.edit	3547
200711	bad.edit	3351
200712	bad.edit	2452
200801	bad.edit	2813
200802	bad.edit	2937
200803	bad.edit	3152
200804	bad.edit	3342
200805	bad.edit	3290
200806	bad.edit	2067
200807	bad.edit	1880
200808	bad.edit	1702
200809	bad.edit	2179
200810	bad.edit	3015
200811	bad.edit	2289
200812	bad.edit	2135
200901	bad.edit	2880
200902	bad.edit	2646
200903	bad.edit	2730
200904	bad.edit	2907
200905	bad.edit	2368
200906	bad.edit	2163
200907	bad.edit	1695
200908	bad.edit	1608
200909	bad.edit	2732
200910	bad.edit	3202
200911	bad.edit	2267
200912	bad.edit	1963
201001	bad.edit	2257
201002	bad.edit	2694
201003	bad.edit	3052
201004	bad.edit	2484
201005	bad.edit	2427
201006	bad.edit	1985
201007	bad.edit	1613
201008	bad.edit	1408
201009	bad.edit	1759
201010	bad.edit	2017
201011	bad.edit	1870
201012	bad.edit	1699
201101	bad.edit	1823
201102	bad.edit	1874
201103	bad.edit	1988
201104	bad.edit	1907
201105	bad.edit	1916
201106	bad.edit	1709
201107	bad.edit	1384
201108	bad.edit	1497
201109	bad.edit	1628
201110	bad.edit	1778
201111	bad.edit	1846
201112	bad.edit	1559
201201	bad.edit	1804
201202	bad.edit	1820
201203	bad.edit	1640
201204	bad.edit	1393
201205	bad.edit	1614
201206	bad.edit	1352
201207	bad.edit	1180
201208	bad.edit	1275
201209	bad.edit	1528
201210	bad.edit	2120
201211	bad.edit	1570
201212	bad.edit	1428
201301	bad.edit	1485
201302	bad.edit	1379
201303	bad.edit	1537
201304	bad.edit	1306
201305	bad.edit	1545
201306	bad.edit	1139
201307	bad.edit	841
201308	bad.edit	1062
200601	Sockpuppetry	323
200602	Sockpuppetry	371
200603	Sockpuppetry	296
200604	Sockpuppetry	475
200605	Sockpuppetry	356
200606	Sockpuppetry	470
200607	Sockpuppetry	718
200608	Sockpuppetry	819
200609	Sockpuppetry	581
200610	Sockpuppetry	524
200611	Sockpuppetry	672
200612	Sockpuppetry	670
200701	Sockpuppetry	975
200702	Sockpuppetry	1072
200703	Sockpuppetry	1019
200704	Sockpuppetry	1263
200705	Sockpuppetry	1113
200706	Sockpuppetry	932
200707	Sockpuppetry	769
200708	Sockpuppetry	728
200709	Sockpuppetry	855
200710	Sockpuppetry	1005
200711	Sockpuppetry	1208
200712	Sockpuppetry	1066
200801	Sockpuppetry	1294
200802	Sockpuppetry	1127
200803	Sockpuppetry	1541
200804	Sockpuppetry	1280
200805	Sockpuppetry	1700
200806	Sockpuppetry	1233
200807	Sockpuppetry	1330
200808	Sockpuppetry	1709
200809	Sockpuppetry	1941
200810	Sockpuppetry	1710
200811	Sockpuppetry	1305
200812	Sockpuppetry	1258
200901	Sockpuppetry	1543
200902	Sockpuppetry	4028
200903	Sockpuppetry	2282
200904	Sockpuppetry	1582
200905	Sockpuppetry	1152
200906	Sockpuppetry	1171
200907	Sockpuppetry	1531
200908	Sockpuppetry	1442
200909	Sockpuppetry	1464
200910	Sockpuppetry	1480
200911	Sockpuppetry	1276
200912	Sockpuppetry	1258
201001	Sockpuppetry	1170
201002	Sockpuppetry	1145
201003	Sockpuppetry	2217
201004	Sockpuppetry	1227
201005	Sockpuppetry	1478
201006	Sockpuppetry	1246
201007	Sockpuppetry	1213
201008	Sockpuppetry	1126
201009	Sockpuppetry	1478
201010	Sockpuppetry	1561
201011	Sockpuppetry	1759
201012	Sockpuppetry	1314
201101	Sockpuppetry	1288
201102	Sockpuppetry	1214
201103	Sockpuppetry	1539
201104	Sockpuppetry	1584
201105	Sockpuppetry	1357
201106	Sockpuppetry	1553
201107	Sockpuppetry	1359
201108	Sockpuppetry	1463
201109	Sockpuppetry	1328
201110	Sockpuppetry	1289
201111	Sockpuppetry	1175
201112	Sockpuppetry	1029
201201	Sockpuppetry	1020
201202	Sockpuppetry	1255
201203	Sockpuppetry	1167
201204	Sockpuppetry	1298
201205	Sockpuppetry	1156
201206	Sockpuppetry	1180
201207	Sockpuppetry	1128
201208	Sockpuppetry	1056
201209	Sockpuppetry	1075
201210	Sockpuppetry	1089
201211	Sockpuppetry	954
201212	Sockpuppetry	1127
201301	Sockpuppetry	1303
201302	Sockpuppetry	1458
201303	Sockpuppetry	1268
201304	Sockpuppetry	1558
201305	Sockpuppetry	1459
201306	Sockpuppetry	1335
201307	Sockpuppetry	1473
201308	Sockpuppetry	1037
200601	Username.problems	797
200602	Username.problems	944
200603	Username.problems	1390
200604	Username.problems	1321
200605	Username.problems	1254
200606	Username.problems	1547
200607	Username.problems	1838
200608	Username.problems	2591
200609	Username.problems	3153
200610	Username.problems	2790
200611	Username.problems	3001
200612	Username.problems	1963
200701	Username.problems	1977
200702	Username.problems	2687
200703	Username.problems	2589
200704	Username.problems	1839
200705	Username.problems	1844
200706	Username.problems	1554
200707	Username.problems	1743
200708	Username.problems	1479
200709	Username.problems	1460
200710	Username.problems	1638
200711	Username.problems	1851
200712	Username.problems	1629
200801	Username.problems	1907
200802	Username.problems	2186
200803	Username.problems	2497
200804	Username.problems	1777
200805	Username.problems	1698
200806	Username.problems	1137
200807	Username.problems	1055
200808	Username.problems	953
200809	Username.problems	1082
200810	Username.problems	1314
200811	Username.problems	1040
200812	Username.problems	815
200901	Username.problems	1029
200902	Username.problems	1037
200903	Username.problems	1198
200904	Username.problems	1223
200905	Username.problems	1298
200906	Username.problems	1539
200907	Username.problems	1994
200908	Username.problems	1457
200909	Username.problems	1322
200910	Username.problems	1843
200911	Username.problems	1062
200912	Username.problems	1055
201001	Username.problems	1418
201002	Username.problems	1385
201003	Username.problems	1932
201004	Username.problems	1081
201005	Username.problems	1146
201006	Username.problems	1075
201007	Username.problems	1286
201008	Username.problems	1329
201009	Username.problems	2796
201010	Username.problems	1852
201011	Username.problems	1126
201012	Username.problems	1014
201101	Username.problems	1456
201102	Username.problems	1141
201103	Username.problems	1473
201104	Username.problems	1242
201105	Username.problems	1193
201106	Username.problems	1129
201107	Username.problems	1383
201108	Username.problems	1508
201109	Username.problems	1468
201110	Username.problems	883
201111	Username.problems	782
201112	Username.problems	932
201201	Username.problems	1161
201202	Username.problems	1238
201203	Username.problems	899
201204	Username.problems	853
201205	Username.problems	923
201206	Username.problems	941
201207	Username.problems	608
201208	Username.problems	749
201209	Username.problems	713
201210	Username.problems	1020
201211	Username.problems	1192
201212	Username.problems	1180
201301	Username.problems	1200
201302	Username.problems	1092
201303	Username.problems	1158
201304	Username.problems	1012
201305	Username.problems	1134
201306	Username.problems	1163
201307	Username.problems	1010
201308	Username.problems	990
200601	Proxies	0
200602	Proxies	0
200603	Proxies	1
