block_timestamp	variable	value
200601	spam	168
200602	spam	152
200603	spam	265
200604	spam	190
200605	spam	279
200606	spam	256
200607	spam	251
200608	spam	214
200609	spam	305
200610	spam	353
200611	spam	378
200612	spam	395
200701	spam	650
200702	spam	500
200703	spam	335
200704	spam	307
200705	spam	262
200706	spam	288
200707	spam	293
200708	spam	347
200709	spam	267
200710	spam	245
200711	spam	262
200712	spam	262
200801	spam	231
200802	spam	204
200803	spam	302
200804	spam	271
200805	spam	272
200806	spam	260
200807	spam	276
200808	spam	265
200809	spam	285
200810	spam	303
200811	spam	253
200812	spam	304
200901	spam	275
200902	spam	282
200903	spam	348
200904	spam	361
200905	spam	346
200906	spam	542
200907	spam	589
200908	spam	442
200909	spam	345
200910	spam	259
200911	spam	220
200912	spam	322
201001	spam	282
201002	spam	237
201003	spam	305
201004	spam	396
201005	spam	362
201006	spam	445
201007	spam	351
201008	spam	303
201009	spam	313
201010	spam	316
201011	spam	356
201012	spam	354
201101	spam	358
201102	spam	310
201103	spam	319
201104	spam	246
201105	spam	255
201106	spam	310
201107	spam	320
201108	spam	415
201109	spam	317
201110	spam	393
201111	spam	321
201112	spam	350
201201	spam	369
201202	spam	425
201203	spam	354
201204	spam	605
201205	spam	646
201206	spam	814
201207	spam	581
201208	spam	615
201209	spam	546
201210	spam	501
201211	spam	490
201212	spam	588
201301	spam	718
201302	spam	677
201303	spam	694
201304	spam	492
201305	spam	676
201306	spam	858
201307	spam	885
201308	spam	1180
201309	spam	1088
200601	bad.edit	7057
200602	bad.edit	7668
200603	bad.edit	8885
200604	bad.edit	7833
200605	bad.edit	10603
200606	bad.edit	6611
200607	bad.edit	5587
200608	bad.edit	6017
200609	bad.edit	8370
200610	bad.edit	10586
200611	bad.edit	10729
200612	bad.edit	8169
200701	bad.edit	9959
200702	bad.edit	10911
200703	bad.edit	12739
200704	bad.edit	10925
200705	bad.edit	11154
200706	bad.edit	7673
200707	bad.edit	6017
200708	bad.edit	6932
200709	bad.edit	10463
200710	bad.edit	11749
200711	bad.edit	10365
200712	bad.edit	7760
200801	bad.edit	10582
200802	bad.edit	10642
200803	bad.edit	9820
200804	bad.edit	10017
200805	bad.edit	9102
200806	bad.edit	5890
200807	bad.edit	4513
200808	bad.edit	5612
200809	bad.edit	9248
