block_timestamp	variable	value
200601	spam	32
200602	spam	24
200603	spam	19
200604	spam	21
200605	spam	37
200606	spam	53
200607	spam	32
200608	spam	45
200609	spam	34
200610	spam	51
200611	spam	68
200612	spam	50
200701	spam	87
200702	spam	57
200703	spam	55
200704	spam	50
200705	spam	73
200706	spam	55
200707	spam	58
200708	spam	38
200709	spam	44
200710	spam	55
200711	spam	55
200712	spam	46
200801	spam	36
200802	spam	56
200803	spam	55
200804	spam	39
200805	spam	42
200806	spam	44
200807	spam	39
200808	spam	24
200809	spam	113
200810	spam	258
200811	spam	181
200812	spam	33
200901	spam	33
200902	spam	25
200903	spam	21
200904	spam	25
200905	spam	10
200906	spam	985
200907	spam	39
200908	spam	11
200909	spam	33
200910	spam	20
200911	spam	11
200912	spam	18
201001	spam	18
201002	spam	16
201003	spam	16
201004	spam	14
201005	spam	27
201006	spam	22
201007	spam	16
201008	spam	23
201009	spam	14
201010	spam	10
201011	spam	15
201012	spam	16
201101	spam	18
201102	spam	18
201103	spam	18
201104	spam	19
201105	spam	11
201106	spam	16
201107	spam	18
201108	spam	20
201109	spam	16
201110	spam	22
201111	spam	11
201112	spam	18
201201	spam	14
201202	spam	31
201203	spam	15
201204	spam	12
201205	spam	13
201206	spam	16
201207	spam	19
201208	spam	13
201209	spam	6
201210	spam	13
201211	spam	14
201212	spam	14
200601	bad.edit	526
200602	bad.edit	535
200603	bad.edit	645
200604	bad.edit	518
200605	bad.edit	650
200606	bad.edit	763
200607	bad.edit	608
200608	bad.edit	643
200609	bad.edit	705
200610	bad.edit	807
200611	bad.edit	825
200612	bad.edit	759
200701	bad.edit	826
200702	bad.edit	868
200703	bad.edit	958
200704	bad.edit	1027
200705	bad.edit	917
200706	bad.edit	783
200707	bad.edit	732
200708	bad.edit	741
200709	bad.edit	859
200710	bad.edit	942
200711	bad.edit	933
200712	bad.edit	794
200801	bad.edit	829
200802	bad.edit	906
200803	bad.edit	909
200804	bad.edit	848
200805	bad.edit	741
200806	bad.edit	593
200807	bad.edit	599
200808	bad.edit	527
200809	bad.edit	923
200810	bad.edit	1375
200811	bad.edit	1033
200812	bad.edit	472
200901	bad.edit	575
200902	bad.edit	581
200903	bad.edit	616
200904	bad.edit	442
200905	bad.edit	453
200906	bad.edit	512
200907	bad.edit	461
200908	bad.edit	458
200909	bad.edit	396
200910	bad.edit	433
200911	bad.edit	399
200912	bad.edit	388
201001	bad.edit	412
201002	bad.edit	411
201003	bad.edit	447
201004	bad.edit	386
201005	bad.edit	376
201006	bad.edit	356
201007	bad.edit	356
201008	bad.edit	355
201009	bad.edit	345
201010	bad.edit	325
201011	bad.edit	343
201012	bad.edit	295
201101	bad.edit	304
201102	bad.edit	349
201103	bad.edit	289
201104	bad.edit	298
201105	bad.edit	337
201106	bad.edit	344
201107	bad.edit	316
201108	bad.edit	335
201109	bad.edit	243
201110	bad.edit	310
201111	bad.edit	246
201112	bad.edit	291
201201	bad.edit	300
201202	bad.edit	278
201203	bad.edit	261
201204	bad.edit	244
201205	bad.edit	226
201206	bad.edit	257
201207	bad.edit	261
201208	bad.edit	302
201209	bad.edit	292
201210	bad.edit	221
201211	bad.edit	203
201212	bad.edit	255
200601	Sockpuppetry	10
200602	Sockpuppetry	5
200603	Sockpuppetry	26
200604	Sockpuppetry	22
200605	Sockpuppetry	18
200606	Sockpuppetry	96
200607	Sockpuppetry	24
200608	Sockpuppetry	27
200609	Sockpuppetry	20
200610	Sockpuppetry	23
200611	Sockpuppetry	33
200612	Sockpuppetry	36
200701	Sockpuppetry	29
200702	Sockpuppetry	53
200703	Sockpuppetry	46
200704	Sockpuppetry	29
200705	Sockpuppetry	38
200706	Sockpuppetry	39
200707	Sockpuppetry	39
200708	Sockpuppetry	34
200709	Sockpuppetry	45
200710	Sockpuppetry	39
200711	Sockpuppetry	38
200712	Sockpuppetry	65
200801	Sockpuppetry	54
200802	Sockpuppetry	52
200803	Sockpuppetry	68
200804	Sockpuppetry	79
200805	Sockpuppetry	54
200806	Sockpuppetry	143
200807	Sockpuppetry	673
200808	Sockpuppetry	78
200809	Sockpuppetry	146
200810	Sockpuppetry	456
200811	Sockpuppetry	222
200812	Sockpuppetry	36
200901	Sockpuppetry	51
200902	Sockpuppetry	41
200903	Sockpuppetry	59
200904	Sockpuppetry	36
200905	Sockpuppetry	41
200906	Sockpuppetry	28
200907	Sockpuppetry	20
