timestamp	variable	value
200601	disruption	1679
200601	misc	425
200601	sockpuppet	258
200601	spam	59
200601	username	544
200602	disruption	1880
200602	misc	640
200602	proxy	1
200602	sockpuppet	232
200602	spam	54
200602	username	591
200603	disruption	2397
200603	misc	726
200603	proxy	3
200603	sockpuppet	281
200603	spam	53
200603	username	969
200604	disruption	1968
200604	misc	649
200604	proxy	5
200604	sockpuppet	343
200604	spam	49
200604	username	1013
200605	disruption	2497
200605	misc	713
200605	proxy	1
200605	sockpuppet	328
200605	spam	88
200605	username	849
200606	disruption	1936
200606	misc	710
200606	sockpuppet	411
200606	spam	133
200606	username	958
200607	disruption	2075
200607	misc	767
200607	sockpuppet	503
200607	spam	123
200607	username	1004
200608	disruption	2229
200608	misc	931
200608	sockpuppet	534
200608	spam	128
200608	username	1618
200609	disruption	2505
200609	misc	788
200609	sockpuppet	381
200609	spam	196
200609	username	1890
200610	disruption	3200
200610	misc	676
200610	sockpuppet	418
200610	spam	219
200610	username	1719
200611	disruption	3682
200611	misc	503
200611	sockpuppet	571
200611	spam	358
200611	username	2050
200612	disruption	3394
200612	misc	509
200612	sockpuppet	572
200612	spam	225
200612	username	1336
200701	disruption	3916
200701	misc	793
200701	sockpuppet	730
200701	spam	258
200701	username	1423
200702	disruption	4078
200702	misc	500
200702	sockpuppet	884
200702	spam	298
200702	username	1930
200703	disruption	4733
200703	misc	574
200703	sockpuppet	699
200703	spam	353
200703	username	1819
200704	disruption	4469
200704	misc	506
200704	sockpuppet	846
200704	spam	302
200704	username	1424
200705	disruption	4473
200705	misc	563
200705	proxy	1
200705	sockpuppet	940
200705	spam	253
200705	username	1408
200706	disruption	3460
200706	misc	377
200706	proxy	1
200706	sockpuppet	751
200706	spam	236
200706	username	1174
200707	disruption	2875
200707	misc	270
200707	sockpuppet	558
200707	spam	313
200707	username	1273
200708	disruption	2883
200708	misc	342
200708	sockpuppet	569
200708	spam	371
200708	username	1058
200709	disruption	3270
200709	misc	281
200709	sockpuppet	636
200709	spam	333
200709	username	1023
200710	disruption	3935
200710	misc	365
200710	proxy	1
200710	sockpuppet	809
200710	spam	337
200710	username	1189
200711	disruption	3750
200711	misc	283
200711	sockpuppet	1010
200711	spam	294
200711	username	1383
200712	disruption	2771
200712	misc	192
200712	proxy	1
200712	sockpuppet	833
200712	spam	244
200712	username	1232
200801	disruption	3211
200801	misc	236
200801	proxy	1
200801	sockpuppet	1106
200801	spam	319
200801	username	1552
200802	disruption	3507
200802	misc	234
200802	sockpuppet	984
200802	spam	354
200802	username	1728
200803	disruption	3692
200803	misc	228
200803	proxy	1
200803	sockpuppet	1167
200803	spam	406
200803	username	2021
200804	disruption	3778
200804	misc	246
200804	sockpuppet	1114
200804	spam	443
200804	username	1443
200805	disruption	3628
200805	misc	338
200805	proxy	1
200805	sockpuppet	1433
200805	spam	573
200805	username	1358
200806	disruption	2456
200806	misc	192
200806	sockpuppet	1161
200806	spam	544
200806	username	902
200807	disruption	2295
200807	misc	267
200807	proxy	1
200807	sockpuppet	1692
200807	spam	655
200807	username	826
200808	disruption	1965
200808	misc	157
200808	sockpuppet	1461
200808	spam	607
200808	username	770
200809	disruption	2598
200809	misc	200
200809	sockpuppet	1527
200809	spam	667
200809	username	880
200810	disruption	3314
200810	misc	198
200810	sockpuppet	1441
200810	spam	759
200810	username	1063
200811	disruption	2567
200811	misc	161
200811	sockpuppet	1030
200811	spam	546
200811	username	834
200812	disruption	2274
200812	misc	167
200812	sockpuppet	968
200812	spam	643
200812	username	649
200901	disruption	2670
200901	misc	159
200901	sockpuppet	1053
200901	spam	935
200901	username	796
200902	disruption	2741
200902	misc	150
200902	proxy	1
200902	sockpuppet	2446
200902	spam	964
200902	username	817
200903	disruption	2774
200903	misc	221
200903	proxy	1
200903	sockpuppet	1494
200903	spam	930
200903	username	858
200904	disruption	2211
200904	misc	221
200904	sockpuppet	921
200904	spam	1139
200904	username	877
200905	disruption	2341
200905	misc	160
200905	sockpuppet	798
200905	spam	1081
200905	username	1027
200906	disruption	2096
200906	misc	196
200906	sockpuppet	789
200906	spam	2133
200906	username	1126
200907	disruption	1778
200907	misc	125
200907	sockpuppet	993
200907	spam	1571
200907	username	1564
200908	disruption	1638
200908	misc	125
200908	sockpuppet	1144
200908	spam	1296
200908	username	1125
200909	disruption	1953
200909	misc	117
200909	sockpuppet	1179
200909	spam	1002
200909	username	1028
200910	disruption	2298
200910	misc	128
200910	sockpuppet	987
200910	spam	790
200910	username	1105
200911	disruption	2203
200911	misc	88
200911	sockpuppet	992
200911	spam	648
200911	username	801
200912	disruption	1968
200912	misc	92
200912	sockpuppet	954
200912	spam	991
200912	username	864
201001	disruption	2278
201001	misc	118
201001	proxy	1
201001	sockpuppet	831
201001	spam	877
201001	username	1108
201002	disruption	2592
201002	misc	95
201002	proxy	1
201002	sockpuppet	780
201002	spam	777
201002	username	1036
201003	disruption	2739
201003	misc	140
201003	proxy	1
201003	sockpuppet	1621
201003	spam	961
201003	username	1008
201004	disruption	2420
201004	misc	76
201004	sockpuppet	884
201004	spam	1242
201004	username	872
201005	disruption	2314
201005	misc	89
201005	proxy	1
201005	sockpuppet	1075
201005	spam	1288
201005	username	920
201006	disruption	2003
201006	misc	91
201006	sockpuppet	872
201006	spam	1494
201006	username	875
201007	disruption	1616
201007	misc	68
201007	proxy	1
201007	sockpuppet	874
201007	spam	1058
201007	username	1000
201008	disruption	1515
201008	misc	74
201008	sockpuppet	898
201008	spam	948
201008	username	1062
201009	disruption	1820
201009	misc	67
201009	proxy	1
201009	sockpuppet	1108
201009	spam	1039
201009	username	2267
201010	disruption	2018
201010	misc	70
201010	sockpuppet	1136
201010	spam	1085
201010	username	1534
201011	disruption	1919
201011	misc	71
201011	sockpuppet	1231
201011	spam	1343
201011	username	883
201012	disruption	1756
201012	misc	90
201012	proxy	1
201012	sockpuppet	912
201012	spam	1358
201012	username	845
201101	disruption	1819
201101	misc	94
201101	sockpuppet	881
201101	spam	1342
201101	username	1224
201102	disruption	1934
201102	misc	104
201102	sockpuppet	934
201102	spam	1136
201102	username	896
201103	disruption	2004
201103	misc	128
201103	proxy	1
201103	sockpuppet	1112
201103	spam	1228
201103	username	1173
201104	disruption	1901
201104	misc	131
201104	sockpuppet	1085
201104	spam	880
201104	username	1006
201105	disruption	1887
201105	misc	111
201105	sockpuppet	982
201105	spam	860
201105	username	968
201106	disruption	1731
201106	misc	95
201106	sockpuppet	1231
201106	spam	1132
201106	username	902
201107	disruption	1445
201107	misc	101
201107	sockpuppet	975
201107	spam	1127
201107	username	1091
201108	disruption	1522
201108	misc	136
201108	sockpuppet	1061
201108	spam	1518
201108	username	1195
201109	disruption	1656
201109	misc	173
201109	proxy	1
201109	sockpuppet	951
201109	spam	1210
201109	username	1175
201110	disruption	1882
201110	misc	145
201110	sockpuppet	1044
201110	spam	1380
201110	username	735
201111	disruption	1880
201111	misc	143
201111	sockpuppet	981
201111	spam	1229
201111	username	622
201112	disruption	1654
201112	misc	171
201112	sockpuppet	900
201112	spam	1337
201112	username	768
201201	disruption	1910
201201	misc	124
201201	sockpuppet	835
201201	spam	1286
201201	username	965
201202	disruption	1841
201202	misc	120
201202	sockpuppet	1004
201202	spam	1303
201202	username	1018
201203	disruption	1694
201203	misc	131
201203	proxy	1
201203	sockpuppet	901
201203	spam	1238
201203	username	703
201204	disruption	1342
201204	misc	115
201204	sockpuppet	1012
201204	spam	1114
201204	username	656
201205	disruption	1593
201205	misc	79
201205	sockpuppet	838
201205	spam	1669
201205	username	728
201206	disruption	1399
201206	misc	133
201206	sockpuppet	833
201206	spam	1318
201206	username	766
201207	disruption	1287
201207	misc	140
201207	sockpuppet	863
201207	spam	1509
201207	username	451
201208	disruption	1358
201208	misc	133
201208	sockpuppet	811
201208	spam	1270
201208	username	588
201209	disruption	1586
201209	misc	88
201209	sockpuppet	911
201209	spam	1524
201209	username	558
201210	disruption	1714
201210	misc	132
201210	sockpuppet	883
201210	spam	1895
201210	username	764
201211	disruption	1521
201211	misc	107
201211	sockpuppet	750
201211	spam	1262
201211	username	943
201212	disruption	1424
201212	misc	113
201212	sockpuppet	941
201212	spam	1337
201212	username	890
201301	disruption	1510
201301	misc	113
201301	sockpuppet	1087
201301	spam	1487
201301	username	880
201302	disruption	1343
201302	misc	93
201302	sockpuppet	1152
201302	spam	1407
201302	username	758
201303	disruption	1496
201303	misc	83
