timestamp	variable	value
200601	disruption	1132
200601	misc	284
200601	sockpuppet	161
200601	spam	38
200601	username	378
200602	disruption	1090
200602	misc	393
200602	proxy	1
200602	sockpuppet	128
200602	spam	28
200602	username	353
200603	disruption	1116
200603	misc	322
200603	proxy	2
200603	sockpuppet	117
200603	spam	25
200603	username	411
200604	disruption	943
200604	misc	319
200604	proxy	1
200604	sockpuppet	192
200604	spam	27
200604	username	511
200605	disruption	1101
200605	misc	326
200605	sockpuppet	152
200605	spam	45
200605	username	369
200606	disruption	918
200606	misc	353
200606	sockpuppet	210
200606	spam	67
200606	username	445
200607	disruption	909
200607	misc	332
200607	sockpuppet	230
200607	spam	64
200607	username	458
200608	disruption	846
200608	misc	347
200608	sockpuppet	190
200608	spam	55
200608	username	555
200609	disruption	848
200609	misc	263
200609	sockpuppet	153
200609	spam	67
200609	username	662
200610	disruption	1036
200610	misc	194
200610	sockpuppet	150
200610	spam	66
200610	username	547
200611	disruption	1015
200611	misc	151
200611	sockpuppet	166
200611	spam	101
200611	username	560
200612	disruption	1111
200612	misc	178
200612	sockpuppet	174
200612	spam	83
200612	username	447
200701	disruption	1105
200701	misc	221
200701	sockpuppet	206
200701	spam	68
200701	username	393
200702	disruption	1055
200702	misc	134
200702	sockpuppet	229
200702	spam	70
200702	username	505
200703	disruption	1138
200703	misc	146
200703	sockpuppet	159
200703	spam	88
200703	username	462
200704	disruption	1169
200704	misc	144
200704	sockpuppet	233
200704	spam	85
200704	username	362
200705	disruption	1161
200705	misc	158
200705	sockpuppet	244
200705	spam	72
200705	username	358
200706	disruption	1160
200706	misc	123
200706	proxy	1
200706	sockpuppet	253
200706	spam	72
200706	username	384
200707	disruption	1116
200707	misc	93
200707	sockpuppet	218
200707	spam	98
200707	username	468
200708	disruption	1130
200708	misc	122
200708	sockpuppet	215
200708	spam	153
200708	username	373
200709	disruption	1189
200709	misc	109
200709	sockpuppet	212
200709	spam	117
200709	username	366
200710	disruption	1167
200710	misc	90
200710	sockpuppet	266
200710	spam	108
200710	username	362
200711	disruption	1106
200711	misc	89
200711	sockpuppet	305
200711	spam	82
200711	username	411
200712	disruption	1057
200712	misc	77
200712	sockpuppet	292
200712	spam	99
200712	username	468
200801	disruption	995
200801	misc	72
200801	proxy	1
200801	sockpuppet	342
200801	spam	101
200801	username	482
200802	disruption	1006
200802	misc	62
200802	sockpuppet	304
200802	spam	105
200802	username	516
200803	disruption	958
200803	misc	61
200803	sockpuppet	297
200803	spam	109
200803	username	568
200804	disruption	1074
200804	misc	66
200804	sockpuppet	315
200804	spam	137
200804	username	401
200805	disruption	1001
200805	misc	76
200805	sockpuppet	376
200805	spam	153
200805	username	387
200806	disruption	910
200806	misc	84
200806	sockpuppet	452
200806	spam	206
200806	username	341
200807	disruption	828
200807	misc	101
200807	sockpuppet	571
200807	spam	205
200807	username	288
200808	disruption	801
200808	misc	75
200808	sockpuppet	563
200808	spam	240
200808	username	314
200809	disruption	856
200809	misc	69
200809	sockpuppet	538
200809	spam	232
200809	username	298
200810	disruption	974
200810	misc	58
200810	sockpuppet	392
200810	spam	231
200810	username	338
200811	disruption	1015
200811	misc	60
200811	sockpuppet	394
200811	spam	197
200811	username	327
200812	disruption	970
200812	misc	65
200812	sockpuppet	407
200812	spam	257
200812	username	294
200901	disruption	960
200901	misc	58
200901	sockpuppet	380
200901	spam	315
200901	username	280
200902	disruption	752
200902	misc	36
200902	proxy	1
200902	sockpuppet	692
200902	spam	278
200902	username	234
200903	disruption	892
200903	misc	76
200903	sockpuppet	467
200903	spam	286
200903	username	272
200904	disruption	850
200904	misc	79
200904	sockpuppet	343
200904	spam	420
200904	username	301
200905	disruption	840
200905	misc	57
200905	sockpuppet	310
200905	spam	379
200905	username	407
200906	disruption	632
200906	misc	65
200906	sockpuppet	246
200906	spam	671
200906	username	379
200907	disruption	609
200907	misc	35
200907	sockpuppet	328
200907	spam	496
200907	username	525
200908	disruption	606
200908	misc	44
200908	sockpuppet	432
200908	spam	508
200908	username	403
200909	disruption	728
200909	misc	42
200909	sockpuppet	462
200909	spam	381
200909	username	380
200910	disruption	894
200910	misc	45
200910	sockpuppet	344
200910	spam	297
200910	username	413
200911	disruption	952
200911	misc	37
200911	sockpuppet	421
200911	spam	267
200911	username	316
200912	disruption	803
200912	misc	44
200912	sockpuppet	402
200912	spam	385
200912	username	359
201001	disruption	888
201001	misc	47
201001	proxy	1
201001	sockpuppet	318
201001	spam	335
201001	username	404
201002	disruption	966
201002	misc	36
201002	sockpuppet	294
201002	spam	303
201002	username	394
201003	disruption	849
201003	misc	40
201003	sockpuppet	489
201003	spam	301
201003	username	314
201004	disruption	867
201004	misc	29
201004	sockpuppet	336
201004	spam	451
201004	username	310
201005	disruption	816
201005	misc	29
201005	proxy	1
201005	sockpuppet	367
201005	spam	446
201005	username	334
201006	disruption	755
201006	misc	37
201006	sockpuppet	336
201006	spam	549
201006	username	316
201007	disruption	679
201007	misc	24
201007	sockpuppet	378
201007	spam	482
201007	username	430
201008	disruption	690
201008	misc	35
201008	sockpuppet	386
201008	spam	406
201008	username	476
201009	disruption	589
201009	misc	28
201009	sockpuppet	335
201009	spam	361
201009	username	680
201010	disruption	698
201010	misc	30
201010	sockpuppet	388
201010	spam	365
201010	username	512
201011	disruption	700
201011	misc	21
201011	sockpuppet	470
201011	spam	484
201011	username	318
201012	disruption	709
201012	misc	35
201012	sockpuppet	378
201012	spam	512
201012	username	359
201101	disruption	683
201101	misc	30
201101	sockpuppet	330
201101	spam	493
201101	username	457
201102	disruption	783
201102	misc	52
201102	sockpuppet	349
201102	spam	462
201102	username	347
201103	disruption	719
201103	misc	45
201103	proxy	1
201103	sockpuppet	396
201103	spam	416
201103	username	416
201104	disruption	726
201104	misc	53
201104	sockpuppet	445
201104	spam	369
201104	username	400
201105	disruption	785
201105	misc	41
201105	sockpuppet	411
201105	spam	375
201105	username	381
201106	disruption	692
201106	misc	34
201106	sockpuppet	477
201106	spam	446
201106	username	344
201107	disruption	621
201107	misc	38
201107	sockpuppet	395
201107	spam	482
201107	username	457
201108	disruption	554
201108	misc	40
201108	sockpuppet	405
201108	spam	561
201108	username	433
201109	disruption	643
201109	misc	74
201109	sockpuppet	380
201109	spam	440
201109	username	456
201110	disruption	729
201110	misc	61
201110	sockpuppet	383
201110	spam	548
201110	username	272
201111	disruption	772
201111	misc	59
201111	sockpuppet	398
201111	spam	502
201111	username	262
201112	disruption	655
201112	misc	81
201112	sockpuppet	369
201112	spam	556
201112	username	332
201201	disruption	734
201201	misc	51
201201	sockpuppet	349
201201	spam	506
201201	username	353
201202	disruption	697
201202	misc	43
201202	sockpuppet	363
201202	spam	521
201202	username	369
201203	disruption	717
201203	misc	57
201203	sockpuppet	391
201203	spam	529
201203	username	299
201204	disruption	620
201204	misc	59
201204	sockpuppet	493
201204	spam	503
201204	username	318
201205	disruption	670
201205	misc	32
201205	sockpuppet	329
201205	spam	663
201205	username	299
201206	disruption	655
201206	misc	59
201206	sockpuppet	349
201206	spam	567
201206	username	363
201207	disruption	610
201207	misc	60
201207	sockpuppet	407
201207	spam	708
201207	username	208
201208	disruption	654
201208	misc	59
201208	sockpuppet	384
201208	spam	613
201208	username	283
201209	disruption	660
201209	misc	31
201209	sockpuppet	395
201209	spam	662
201209	username	245
201210	disruption	611
201210	misc	54
201210	sockpuppet	345
201210	spam	685
201210	username	298
201211	disruption	662
201211	misc	45
201211	sockpuppet	326
201211	spam	567
201211	username	393
201212	disruption	610
201212	misc	49
201212	sockpuppet	391
201212	spam	562
201212	username	381
201301	disruption	595
201301	misc	47
201301	sockpuppet	428
201301	spam	590
201301	username	333
201302	disruption	591
201302	misc	35
201302	sockpuppet	462
201302	spam	586
201302	username	319
201303	disruption	595
201303	misc	41
201303	sockpuppet	357
201303	spam	662
201303	username	338
201304	disruption	525
201304	misc	45
201304	sockpuppet	471
201304	spam	637
201304	username	315
201305	disruption	590
201305	misc	27
201305	sockpuppet	427
201305	spam	618
201305	username	331
201306	disruption	470
201306	misc	34
201306	sockpuppet	398
201306	spam	754
201306	username	337
201307	disruption	412
201307	misc	35
201307	sockpuppet	505
201307	spam	700
201307	username	341
201308	disruption	505
201308	misc	45
201308	sockpuppet	379
201308	spam	719
201308	username	345
201309	disruption	542
201309	misc	22
201309	sockpuppet	314
201309	spam	753
201309	username	362
201310	disruption	523
201310	misc	49
201310	sockpuppet	286
201310	spam	848
201310	username	287
