timestamp	reason	userid	matched_regex
200601	sockpuppet used abusively	821853	disruption
200601	vandalism	832877	disruption
200601	Personal attacks, threats	716184	disruption
200601	vandalism	801143	disruption
200601	vandalism	848689	disruption
200601	personal attacks	722237	disruption
200601	vandalism	741446	disruption
200601	vandalism	768318	disruption
200601	personal attacks	113059	disruption
200601	Childish vandalism	630288	disruption
200601	Troll acount, personal attacks that place other users in danger, no positive contributions	824559	disruption
200601	User name too similar to existing user; nonsense edits	746179	disruption
200601	vandalism	845229	disruption
200601	vandalism	800027	disruption
200601	vandalism	527605	disruption
200601	vandalism	758770	disruption
200601	3RR on [[Wikipedia talk:Requests for Comment/Kelly Martin]]	277369	disruption
200601	vandal account	783438	disruption
200601	vandal	808748	disruption
200601	vandalism	721234	disruption
200601	Abusive sockpuppet	817192	disruption
200601	troll.  account created to disrupt Wikipedia	741978	disruption
200601	Part of vandalism spree on [[Wikipedia]] article	791807	disruption
200601	repeated addition of nonsense	747706	disruption
200601	nothing but continued vandalism of [[Judaism]]	772413	disruption
200601	sockpuppet used abusively	752420	disruption
200601	sockpuppet used abusively	860175	disruption
200601	vandalism	729553	disruption
200601	obscene vandalism and sockpuppetry	759975	disruption
200601	vandalism	813200	disruption
200601	vandalism	861151	disruption
200601	Pure vandal account	802978	disruption
200601	3RR	800644	disruption
200601	vandalism against me, trying to impersonate me	774039	disruption
200601	Sockpuppet used to repost nonsense article.  No previous edits.	799396	disruption
200601	sockpuppet used abusively	821825	disruption
200601	personal attacks, "WHAT ARE YOU? RETARDED?"	72454	disruption
200601	vandalism	778934	disruption
200601	3RR violation	716477	disruption
200601	vandalism	861069	disruption
200601	clear strawman sockpuppet of Saduj al-Dahij. Used for vandalism and personal attacks	804325	disruption
200601	vandalism-only account; sock of user:P0rk	743848	disruption
200601	sockpuppet of [[User:Beckjord]]	788787	sockpuppet
200601	Iasson sockpuppet	821044	sockpuppet
200601	sockpuppet	747315	sockpuppet
200601	1962006 sock puppet	762131	sockpuppet
200601	DickyRobert sockpuppet	736730	sockpuppet
200601	sock of banned [[User:P0rk]]	746184	sockpuppet
200601	sockpuppet of banned user	830988	sockpuppet
200601	[[WP:AGF]] logo sock	814642	sockpuppet
200601	Sockpuppet Gibraltarian	746022	sockpuppet
200601	1962006 sock puppet	762116	sockpuppet
200601	please contact an administrator for verification purposes, as described on this page	836488	username
200601	impostor/too similar to existing user...	773375	username
200601	Famous basketball player, please contact an administrator for verification purposes, as described on this page	758608	username
200601	too similar to existing user Titoxd	743661	username
200601	too similar to existing user Allen3	841308	username
200601	please contact an administrator for verification purposes, as described on this page	766695	username
200601	impostor	818075	username
200601	{{UsernameBlock}}	784212	username
200601	{{UsernameBlock}}	851602	username
200601	please choose a {{username}} without needless duplicated vowels	769973	username
200601	{{UsernameBlock}}	782614	username
200601	{{Usernameblock}}	749176	username
200601	confusing username, Cyrillic spoofing Latin letters	824924	username
200601	username	766568	username
200601	please contact an administrator for verification purposes, as described on this page	804974	username
200601	{{UsernameBlock}}	777570	username
200601	impostor/too similar to existing user...	797958	username
200601	Gibraltarian	824200	Misc
200601	pagemove...	726610	Misc
200601	user...	842129	Misc
200601	[[WP:FU]] violation	484324	Misc
200601	pagemove...	718736	Misc
200601	user...	794688	Misc
200601	Until we can get this Kurdistan mess cleared up.	794140	Misc
200601	pagemove...	718736	Misc
200601	Re-blocking to 13 months from last confirmed edit	105692	Misc
200601	user...	818075	Misc
200601	pagemove...	527404	Misc
200601	uploads recent photos and claims author died > 100 years ago	372311	Misc
200602	spam account	951299	spam
200602	3RR violation at [[Anarchism]] and edit warring at same	141644	disruption
200602	first edit was to vandalize my userpage, clearly a previously-blocked vandal	894212	disruption
200602	vandal account	884732	disruption
200602	username, vandalism	940670	disruption
200602	nothing but incivility and vandalism	859602	disruption
200602	vandalism	897485	disruption
200602	vandalism	904375	disruption
200602	vandal account	871838	disruption
200602	trolling sock puppet	941879	disruption
200602	resetting again per ArbCom ban, has now edited userpage as an anon	387364	disruption
200602	all edits vandalism over extended period	755561	disruption
200602	another identity of EffK, as per arbcom	419615	disruption
200602	Company POV public relations-type activist agenda in re: [[ON24]] - no	802335	disruption
200602	vandalism	935876	disruption
200602	Raul attack vandal	880144	disruption
200602	continued uploading of copyrighted images after warnings	607367	disruption
200602	vandalism on [[Music of Nigeria]]	898854	disruption
200602	vandalisms	896900	disruption
200602	Vandalism to existing pages; all other edits nonsense.  Account created for vandalism.	874447	disruption
200602	vandal account	869752	disruption
200602	vandalism	978362	disruption
200602	vandalism	899185	disruption
200602	vandalism	610655	disruption
200602	Vandal only	898372	disruption
200602	Adding porn external links to [[SpongeBob SquarePants]] and one other nasty vandalism	965724	disruption
200602	sockpuppet of repeat vandal	662264	disruption
200602	vandalism	881620	disruption
200602	sockpuppet used abusively	932632	disruption
200602	trolling	700235	disruption
200602	vandal sock	920175	disruption
200602	sockpuppet used abusively	866770	disruption
200602	account solely used for vandalism	981028	disruption
200602	Persistent vandalism	852238	disruption
200602	Silly, racist remarks.  Account created solely for vandalism.	877214	disruption
200602	Repeated creation of CSD A6	967275	disruption
200602	personal attacks	783571	disruption
200602	vandalism	875465	disruption
200602	first warning. stop adding your lies, and stop the personal attacks\	372123	disruption
200602	repeated vandalism of user pages despite many warnings	879523	disruption
200602	returning vandal	920557	disruption
200602	violation of [[WP:3RR]] on [[Xuqa]]	889013	disruption
200602	sockpuppet used abusively	898494	disruption
200602	vandalism	930495	disruption
200602	vandalism	871870	disruption
200602	vandal-only account	970057	disruption
200602	returning vandal of featured article	959783	disruption
200602	imposter of user banned by arbcom	900064	disruption
200602	3rr on Treaty of Welawa	541820	disruption
200602	sock of banned [[user:Brian Brockmeyer.]]	911977	sockpuppet
200602	{{UsernameBlock}}	931313	username
200602	{{UsernameBlock}}	960830	username
200602	{{UsernameBlock}}	997725	username
200602	{{UsernameBlock}}	892133	username
200602	imposter	916038	username
200602	please contact an administrator for verification purposes, as described on this page	898079	username
200602	name similar to current user, possible imposter	878671	username
200602	please contact an administrator for verification purposes, as described on this page	932293	username
200602	{{UsernameBlock}}	911948	username
200602	{{UsernameBlock}}	892122	username
200602	please contact an administrator for verification purposes, as described on this page	988368	username
200602	too similar to existing [[User:Bluemoose]]	923402	username
200602	{{imposter}}	990367	username
200602	imposter	885466	username
200602	{{username}}	959277	username
200602	{{UsernameBlock}}	908520	username
200602	impostor	900130	username
200602	resetting ban (see RfAr)	387364	Misc
200602	user...	985837	Misc
200602	user...	926811	Misc
200602	user...	890130	Misc
200602	Public account	262955	Misc
200602	re-blocking, previous block didn't stick	51235	Misc
200602	pagemove...	421433	Misc
200602	restore block	434293	Misc
200602	continuing to create disallowed pages	847811	Misc
200602	user...	930550	Misc
200602	user..	888723	Misc
200602	user...	986778	Misc
200602	user...	895653	Misc
200602	WoW	900198	Misc
200603	dispute over a sock tag, small vandalism.	996120	disruption
200603	repeat vandalism and blanking of talk page (with warnings) after repeatedly being told not to.  Also has threatened sockpuppetry	1546543	disruption
200603	vandalism	1145828	disruption
200603	another sockpuppet of the [[Matt Leinart]] vandal, vandalism-only account	1087688	disruption
200603	vandalism	1029228	disruption
200603	vandalism	989941	disruption
200603	3rr on Ramona Amiri	1120652	disruption
200603	inappropriate username, attacks	940976	disruption
200603	Borderline behavior, one-week block clearly inappropriate	113059	disruption
200603	vandal account	1077877	disruption
200603	vandalism	1011705	disruption
200603	sockpuppet used abusively	1053455	disruption
200603	vandalism	660529	disruption
200603	vandalism	1063789	disruption
200603	3RR violation on [[Simon Strelchik]]	132157	disruption
200603	vandalism only account	1100264	disruption
200603	Vandalism. Also, username sounds like "[[WP:SOCK|Meatpuppet]]" and is inappropriate. Most likely an abusive sock account.	1179188	disruption
200603	vandalism	688583	disruption
200603	vandalism	1071561	disruption
200603	vandalism	1113452	disruption
200603	vandalism of user pages, no good edits	1036615	disruption
200603	sockpuppet of vandal	1111423	disruption
200603	sockpuppet of the matt leinart vandal	1018829	disruption
200603	troll account	1051057	disruption
200603	vandalism	1062483	disruption
200603	vandalism	1012248	disruption
200603	3rr on Ante Starčević	1124134	disruption
200603	vandalism	1145457	disruption
200603	vandalism	1063318	disruption
200603	vandalism	1170616	disruption
200603	vandal account	1058768	disruption
200603	vandalism, allegedly GNAA	1145754	disruption
200603	vandalism	1084801	disruption
200603	nothing but vandalism	1097081	disruption
200603	sockpuppet used abusively	1060571	disruption
200603	vandal sock	1046749	disruption
200603	sockpuppet of Randallrobinstine	1070405	sockpuppet
200603	Probable Wik sockpuppet	1051730	sockpuppet
200603	sock of Shran	446686	sockpuppet
200603	too similar to banned [[User:Internodeuser]] (this is for your own good)	1132077	sockpuppet
200603	sockpuppet of banned user Wik	101520	sockpuppet
200603	 Username {{WoW}}	1141168	sockpuppet
200603	sockpuppet	1128478	sockpuppet
200603	one of multiple sockpuppets used by [[User:ZoeCroydon]] per [[WP:RFCU]] results; please select one username, then email me to have the block removed	1050269	sockpuppet
200603	Sockpuppet of A. Morrow	1088065	sockpuppet
200603	Probable Wik sockpuppet	1051785	sockpuppet
200603	{{Sockchecked|DarrenRay}}	985057	sockpuppet
200603	Sockpuppet of [[User:Basil Rathbone]] and [[User:Lightbringer]].	992666	sockpuppet
200603	perma-banned user pinktulip sockpuppet	1013134	sockpuppet
200603	sockpuppet of [[User:DPSingh|]]	993578	sockpuppet
200603	username	1139688	username
200603	username	1143990	username
200603	please contact an administrator for verification purposes, as described on this page	1072790	username
200603	please contact an administrator for verification purposes, as described on this page	1148717	username
200603	please contact an administrator for verification purposes, as described on this page	1154782	username
200603	{{UsernameBlock}}	1176650	username
200603	{{usernameblock}}	1066350	username
200603	{{UsernameBlock}}	1036690	username
200603	please contact an administrator for verification purposes, as described on this page	1105540	username
200603	{{username}}	1075344	username
200603	{{username}}	1078073	username
200603	{{UsernameBlock}}	1061389	username
200603	please contact an administrator for verification purposes, as described on this page	1158704	username
200603	{{usernameblock}}	1094694	username
200603	please contact an administrator for verification purposes, as described on this page	1179692	username
200603	confusing/misleading username, non-Latin-alphabet letters spoofing Latin-alphabet letters	1064739	username
200603	please contact an administrator for verification purposes, as described on this page	1096417	username
200603	please contact an administrator for verification purposes, as described on this page	1164268	username
200603	username	1141371	username
200603	please contact an administrator for verification purposes, as described on this page	1131984	username
200603	reblocking per [[User:ESkog|ESkog]]'s duration	822697	Misc
200603	pest	1081322	Misc
200603	copycat of User:MONGO (admin)	1132068	Misc
200603	pagemove...	928298	Misc
200603	user...	1160336	Misc
200603	This has gone on long enough	475628	Misc
200603	Wik again	1174780	Misc
200603	user...	1135915	Misc
200603	horse's ass	1041615	Misc
200603	You'd better watch out, copperchair. The next block is for a year.	260349	Misc
200603	user...	1156432	Misc
200604	linkspam	1152194	spam
200604	Spamdal	858983	spam
200604	return of repeat vandal	606874	disruption
200604	vandalism	1244940	disruption
200604	[[Wikipedia:Requests_for_arbitration/Leyasu#Revert_parole|Revert parole]] [[Gothic_metal|violation]]	304993	disruption
200604	vandalism	1203723	disruption
200604	vandalism	1203058	disruption
200604	Username, vandalism, trolling	1291930	disruption
200604	Vandalism-attack article-For more information please visit www.crimelibrary.com Danya Schreiber goes by many names such as buttercup and lil bitch	1241975	disruption
200604	vandalism only account	1288657	disruption
200604	sockpuppet used abusively	1206417	disruption
200604	sockpuppet used abusively	1156703	disruption
200604	vaughanwatch sock	1287166	disruption
200604	Repeated vandalism, was warned	1080006	disruption
200604	blanking vandalism, 2nd block	1067459	disruption
200604	vandalism	1192714	disruption
200604	vandalism	1280096	disruption
200604	vandalism	1311022	disruption
200604	Vandalism blanking (vandalism only account	1195011	disruption
200604	continuous revert warring with [[User:Instantnood]]	166025	disruption
200604	vandalism	1233269	disruption
200604	vandalism-only account	1321615	disruption
200604	Ballot-stuffing sockpuppet on [[Wikipedia:Articles for deletion/Abusive Aussie Husband/Battered Southern Wife stereotype]]	1351363	disruption
200604	trolling and sockpuppetry	1109371	disruption
200604	vandalism	1314912	disruption
200604	Vandal-only account	934772	disruption
200604	vandalism	1310874	disruption
200604	account used only for vandalism of user pages	1207117	disruption
200604	vandalism	718909	disruption
200604	vandalism	1272384	disruption
200604	vandalism only account	1298534	disruption
200604	vandal accoutn	1349449	disruption
200604	vandalism	1245413	disruption
200604	persistent continuous vandalism despite blocks and warnings	1181022	disruption
200604	account created for trolling	1272421	disruption
200604	vandalism account	1276195	disruption
200604	sockpuppet used abusively	1292797	disruption
200604	vandalism	473127	disruption
200604	troll	1342532	disruption
200604	vandal account	1187128	disruption
200604	vandalism-only account	1280521	disruption
200604	vandal account	1239595	disruption
200604	Declared himself a sock of Willy on Wheels, see [[Do briefs stink?]]	1300304	sockpuppet
200604	[[User:Science3456]] sock	921475	sockpuppet
200604	Blu Aardvark sockpuppet	1158064	sockpuppet
200604	proclaimed sockpuppet ( http://en.wikipedia.org/w/index.php?title=Special:Undelete&target=User%3ABucknuts23&timestamp=20060405022545 )	1203881	sockpuppet
200604	Sockpuppet of blocked user	1254414	sockpuppet
200604	Sockpupper of blocked user	1230060	sockpuppet
200604	sock	1316819	sockpuppet
200604	impostor/too similar to existing user	1245875	username
200604	please contact an administrator for verification, as described on this page	1292376	username
200604	{{usernameblock}}	1338555	username
200604	{{username}}	1209292	username
200604	please contact an administrator for verification purposes, as described on this page	1211802	username
200604	{{usernameblock}}	1248120	username
200604	{{usernameblock}}	1300780	username
200604	impostor/too similar to existing user...	1302267	username
200604	{{usernameblock}}	1311729	username
200604	username --imposter	1213972	username
200604	{{UsernameBlock}}	1226981	username
200604	username	1240992	username
200604	Username --please use Latin characters..thank you	1266198	username
200604	username	47602	username
200604	{{username}}	1264003	username
200604	please contact an administrator for verification purposes, as described on this page	1332610	username
200604	{{usernameblock}}	1239191	username
200604	username	1328396	username
200604	username	1243435	username
200604	{{usernameblock}}	1271663	username
200604	Dumping an essay into [[Spiritualism]] - to get user's attention	1259942	Misc
200604	try again	872383	Misc
200604	user...	1346617	Misc
200604	Spreading personal informaiton	1244768	Misc
200604	reducing block to 1 week temporarily, see ANI	92131	Misc
200604	user...	1248015	Misc
200604	user...	1279040	Misc
200604	wik	1340853	Misc
200604	see talk page	112889	Misc
200604	user...	1196483	Misc
200604	user...	1203650	Misc
200604	user...	1283367	Misc
200605	repeated spamming of [[Costa Rica]]	1341113	spam
200605	exists solely for Internet pharmacy spam - see also contributions of [[User:87.226.157.36|]] used earlier today	1418804	spam
200605	vandalism, possibly sockpuppet created by Bugman94	1511426	disruption
200605	Vandalism-only account	1493740	disruption
200605	harrassment, personal attacks	624582	disruption
200605	vandalism	1373572	disruption
200605	Blocked for continued image copyright and licensing problems	849492	disruption
200605	Vandalism only account. See deleted edits at [[Apple Corps v. Apple Computer]]	1408003	disruption
200605	vandalism	1455450	disruption
200605	vandalism	1500640	disruption
200605	vandalism, was warned	1460386	disruption
200605	vandalism account	1456759	disruption
200605	vandalism account	1517542	disruption
200605	throwaway WP:POINT account	1373424	disruption
200605	Pagemove vandalism	1302931	disruption
200605	3RR violation, repeated	1152678	disruption
200605	This is banned user Xebat's other username.  See [[Wikipedia:Requests_for_arbitration/Aucaman]]	591675	disruption
200605	blatant vandalism	1372483	disruption
200605	vandalism and disruption	1134637	disruption
200605	vandalism only account	1483539	disruption
200605	vandalism, attacking, blanking of warnings	10495	disruption
200605	nasty vandalism only	1362265	disruption
200605	trolling, disruption, POV edit warring contra clear talk page consensus	1312074	disruption
200605	vandalism	1382739	disruption
200605	Vandalism	1437115	disruption
200605	Please stop adding the nonsense and silly vandalism	1296240	disruption
200605	waging edit wars over numerous pages with the same user	853739	disruption
200605	vandalism	1445858	disruption
200605	vandalism	982036	disruption
200605	sockpuppet of [[User:Primetime]], currently subject to indefinite block for copyright violations	1462378	disruption
200605	vandal account	1441237	disruption
200605	violation of 3RR at [[Line of succession to the British Throne]]	1450747	disruption
200605	sockpuppet of vandal	1373370	disruption
200605	repeated reposting of same nonsense article under different titles	1523481	disruption
200605	Vandalism to [[Tristan vollett]]	1537707	disruption
200605	vandalism account	1462037	disruption
200605	vandalism	1412227	disruption
200605	vandalism	1391086	disruption
200605	vandal account	1505240	disruption
200605	vandalism	1382380	disruption
200605	vandal sock	1492322	disruption
200605	vandalism account	1317075	disruption
200605	Pure vandalism account	1019465	disruption
200605	vandalism	1382810	disruption
200605	vandalism	1205328	disruption
200605	vandalism	1445298	disruption
200605	vandal sock	1414333	disruption
200605	vandalism	1386098	disruption
200605	vandal account	1506321	disruption
200605	[[WP:3RR]] at [[Rapcore]], talk page blanking & [[WP:NLT|legal threats]] at [[User talk:Ulayiti]]	774197	disruption
200605	vandalism	1437064	disruption
200605	vandal. Only edits have been to remove factual information from an article on a Toronto city council (ie electoral data and other sourced info). Possibly a Cho staffer or campaign worker	1350754	disruption
