"month"	"hits"	"regex"	"usergroup"
"200601"	59	"spam"	"registered"
"200602"	54	"spam"	"registered"
"200603"	53	"spam"	"registered"
"200604"	49	"spam"	"registered"
"200605"	88	"spam"	"registered"
"200606"	133	"spam"	"registered"
"200607"	123	"spam"	"registered"
"200608"	128	"spam"	"registered"
"200609"	196	"spam"	"registered"
"200610"	219	"spam"	"registered"
"200611"	358	"spam"	"registered"
"200612"	225	"spam"	"registered"
"200701"	258	"spam"	"registered"
"200702"	298	"spam"	"registered"
"200703"	353	"spam"	"registered"
"200704"	302	"spam"	"registered"
"200705"	253	"spam"	"registered"
"200706"	236	"spam"	"registered"
"200707"	313	"spam"	"registered"
"200708"	371	"spam"	"registered"
"200709"	333	"spam"	"registered"
"200710"	337	"spam"	"registered"
"200711"	294	"spam"	"registered"
"200712"	244	"spam"	"registered"
"200801"	319	"spam"	"registered"
"200802"	354	"spam"	"registered"
"200803"	406	"spam"	"registered"
"200804"	443	"spam"	"registered"
"200805"	573	"spam"	"registered"
"200806"	544	"spam"	"registered"
"200807"	655	"spam"	"registered"
"200808"	607	"spam"	"registered"
"200809"	667	"spam"	"registered"
"200810"	759	"spam"	"registered"
"200811"	546	"spam"	"registered"
"200812"	643	"spam"	"registered"
"200901"	935	"spam"	"registered"
"200902"	964	"spam"	"registered"
"200903"	930	"spam"	"registered"
"200904"	1139	"spam"	"registered"
"200905"	1081	"spam"	"registered"
"200906"	2133	"spam"	"registered"
"200907"	1571	"spam"	"registered"
"200908"	1296	"spam"	"registered"
"200909"	1002	"spam"	"registered"
"200910"	790	"spam"	"registered"
"200911"	648	"spam"	"registered"
"200912"	991	"spam"	"registered"
"201001"	877	"spam"	"registered"
"201002"	777	"spam"	"registered"
"201003"	961	"spam"	"registered"
"201004"	1242	"spam"	"registered"
"201005"	1288	"spam"	"registered"
"201006"	1494	"spam"	"registered"
"201007"	1058	"spam"	"registered"
"201008"	948	"spam"	"registered"
"201009"	1039	"spam"	"registered"
"201010"	1085	"spam"	"registered"
"201011"	1343	"spam"	"registered"
"201012"	1358	"spam"	"registered"
"201101"	1342	"spam"	"registered"
"201102"	1136	"spam"	"registered"
"201103"	1228	"spam"	"registered"
"201104"	880	"spam"	"registered"
"201105"	860	"spam"	"registered"
"201106"	1132	"spam"	"registered"
"201107"	1127	"spam"	"registered"
"201108"	1518	"spam"	"registered"
"201109"	1217	"spam"	"registered"
"201110"	1380	"spam"	"registered"
"201111"	1229	"spam"	"registered"
"201112"	1337	"spam"	"registered"
"201201"	1286	"spam"	"registered"
"201202"	1303	"spam"	"registered"
"201203"	1238	"spam"	"registered"
"201204"	1114	"spam"	"registered"
"201205"	1669	"spam"	"registered"
"201206"	1318	"spam"	"registered"
"201207"	1509	"spam"	"registered"
"201208"	1270	"spam"	"registered"
"201209"	1524	"spam"	"registered"
"201210"	1895	"spam"	"registered"
"201211"	1262	"spam"	"registered"
"201212"	1337	"spam"	"registered"
"201301"	1487	"spam"	"registered"
"201302"	1407	"spam"	"registered"
"201303"	1565	"spam"	"registered"
"201304"	1681	"spam"	"registered"
"201305"	1656	"spam"	"registered"
"201306"	1842	"spam"	"registered"
"201307"	1593	"spam"	"registered"
"201308"	1604	"spam"	"registered"
"201309"	1757	"spam"	"registered"
"201310"	2142	"spam"	"registered"
"201311"	1751	"spam"	"registered"
"201312"	1661	"spam"	"registered"
"201401"	1593	"spam"	"registered"
"200601"	1679	"disruption"	"registered"
"200602"	1880	"disruption"	"registered"
"200603"	2397	"disruption"	"registered"
"200604"	1967	"disruption"	"registered"
"200605"	2497	"disruption"	"registered"
"200606"	1936	"disruption"	"registered"
"200607"	2075	"disruption"	"registered"
"200608"	2229	"disruption"	"registered"
"200609"	2505	"disruption"	"registered"
"200610"	3200	"disruption"	"registered"
"200611"	3682	"disruption"	"registered"
"200612"	3394	"disruption"	"registered"
"200701"	3916	"disruption"	"registered"
"200702"	4078	"disruption"	"registered"
"200703"	4733	"disruption"	"registered"
"200704"	4469	"disruption"	"registered"
"200705"	4473	"disruption"	"registered"
"200706"	3460	"disruption"	"registered"
"200707"	2875	"disruption"	"registered"
"200708"	2883	"disruption"	"registered"
"200709"	3270	"disruption"	"registered"
"200710"	3935	"disruption"	"registered"
"200711"	3750	"disruption"	"registered"
"200712"	2771	"disruption"	"registered"
"200801"	3211	"disruption"	"registered"
"200802"	3507	"disruption"	"registered"
"200803"	3692	"disruption"	"registered"
