Var1	Freq
200601	124034
200602	141294
200603	173062
200604	157351
200605	158743
200606	147094
200607	159560
200608	187980
200609	200933
200610	219127
200611	232075
200612	204688
200701	237375
200702	244821
200703	253801
200704	240122
200705	223676
200706	191501
200707	200471
200708	195453
200709	207248
200710	220589
200711	182371
200712	150703
200801	205727
200802	199590
200803	196104
200804	192757
200805	183593
200806	154404
200807	147863
200808	151852
200809	161983
200810	173367
200811	158247
200812	141169
200901	175718
200902	170469
200903	181320
200904	163479
200905	161193
200906	152802
200907	149970
200908	157091
200909	156897
200910	165511
200911	156877
200912	142346
201001	170057
201002	162412
201003	168299
201004	150292
201005	148833
201006	118546
201007	116398
201008	117388
201009	120435
201010	126436
201011	122861
201012	111723
201101	134134
201102	130167
201103	142621
201104	137406
201105	135394
201106	127575
201107	130968
201108	136839
201109	136162
201110	134923
201111	129044
201112	115576
201201	131519
201202	124068
201203	115360
201204	105756
201205	107663
201206	101002
201207	104378
201208	105897
201209	107123
201210	114595
201211	116984
201212	104836
201301	106006
201302	107231
201303	120347
201304	104258
201305	102255
201306	93173
201307	111526
201308	123834
