Var1	Freq
200601	124034
200602	141294
200603	173062
200604	109339
200605	52896
200606	51789
200607	55080
200608	64536
200609	62740
200610	67790
200611	74259
200612	74552
200701	93414
200702	93986
200703	98481
200704	93826
200705	87546
200706	72654
200707	75020
200708	74072
200709	78870
200710	84810
200711	76098
200712	64196
200801	77828
200802	77525
200803	80360
200804	76688
200805	72475
200806	60042
200807	58725
200808	59164
200809	62382
200810	69265
200811	64705
200812	59097
200901	67512
200902	65506
200903	68860
200904	62076
200905	62781
200906	58394
200907	58166
200908	57478
200909	58464
200910	63560
200911	62147
200912	56071
201001	63530
201002	61811
201003	64513
201004	58032
201005	56680
201006	48388
201007	46981
201008	47330
201009	47832
201010	50733
201011	48888
201012	44789
201101	53505
201102	53988
201103	61231
201104	55140
201105	53521
201106	53681
201107	53447
201108	54609
201109	55827
201110	54423
201111	52500
201112	47383
201201	53743
201202	52065
201203	49876
201204	46623
201205	47105
201206	40445
201207	40986
201208	41018
201209	41878
201210	44392
201211	42131
201212	36903
201301	40982
201302	38633
201303	41747
201304	40553
201305	39608
201306	34777
201307	39996
201308	41867
