block_timestamp	variable	value
200601	spam	161
200602	spam	146
200603	spam	194
200604	spam	172
200605	spam	257
200606	spam	224
200607	spam	206
200608	spam	185
200609	spam	285
200610	spam	315
200611	spam	313
200612	spam	360
200701	spam	489
200702	spam	358
200703	spam	271
200704	spam	264
200705	spam	224
200706	spam	251
200707	spam	238
200708	spam	240
200709	spam	199
200710	spam	188
200711	spam	221
200712	spam	187
200801	spam	183
200802	spam	141
200803	spam	226
200804	spam	171
200805	spam	182
200806	spam	175
200807	spam	129
200808	spam	153
200809	spam	178
200810	spam	182
200811	spam	150
200812	spam	161
200901	spam	104
200902	spam	90
200903	spam	138
200904	spam	73
200905	spam	78
200906	spam	207
200907	spam	215
200908	spam	150
200909	spam	98
200910	spam	87
200911	spam	64
200912	spam	90
201001	spam	87
201002	spam	73
201003	spam	99
201004	spam	101
201005	spam	102
201006	spam	78
201007	spam	99
201008	spam	93
201009	spam	69
201010	spam	89
201011	spam	88
201012	spam	79
201101	spam	81
201102	spam	77
201103	spam	56
201104	spam	59
201105	spam	51
201106	spam	52
201107	spam	55
201108	spam	71
201109	spam	58
201110	spam	74
201111	spam	64
201112	spam	71
201201	spam	104
201202	spam	167
201203	spam	80
201204	spam	357
201205	spam	354
201206	spam	531
201207	spam	340
201208	spam	347
201209	spam	285
201210	spam	152
201211	spam	210
201212	spam	148
200601	bad.faith	6282
200602	bad.faith	6645
200603	bad.faith	7788
200604	bad.faith	7115
200605	bad.faith	9721
200606	bad.faith	5825
200607	bad.faith	4621
200608	bad.faith	4984
200609	bad.faith	7522
200610	bad.faith	9795
200611	bad.faith	9885
200612	bad.faith	7272
200701	bad.faith	9027
200702	bad.faith	9887
200703	bad.faith	11600
200704	bad.faith	10042
200705	bad.faith	10283
200706	bad.faith	6962
200707	bad.faith	5404
200708	bad.faith	6371
200709	bad.faith	9802
200710	bad.faith	11061
200711	bad.faith	9741
200712	bad.faith	7334
200801	bad.faith	10053
200802	bad.faith	10170
200803	bad.faith	9242
200804	bad.faith	9407
200805	bad.faith	8475
200806	bad.faith	5477
200807	bad.faith	4021
200808	bad.faith	5166
200809	bad.faith	8856
200810	bad.faith	9588
200811	bad.faith	7317
200812	bad.faith	6019
200901	bad.faith	7721
200902	bad.faith	6979
200903	bad.faith	7727
200904	bad.faith	6351
200905	bad.faith	6420
200906	bad.faith	4130
200907	bad.faith	2925
200908	bad.faith	3649
200909	bad.faith	5368
200910	bad.faith	6562
200911	bad.faith	5748
200912	bad.faith	4634
201001	bad.faith	5461
201002	bad.faith	6098
201003	bad.faith	7123
201004	bad.faith	6366
201005	bad.faith	5818
201006	bad.faith	4013
201007	bad.faith	3185
201008	bad.faith	3518
201009	bad.faith	5202
201010	bad.faith	5891
201011	bad.faith	6109
201012	bad.faith	5183
201101	bad.faith	5382
201102	bad.faith	4536
201103	bad.faith	4609
201104	bad.faith	3743
201105	bad.faith	4581
201106	bad.faith	4672
201107	bad.faith	5101
201108	bad.faith	3149
201109	bad.faith	10985
201110	bad.faith	7579
201111	bad.faith	5665
201112	bad.faith	3912
201201	bad.faith	4660
201202	bad.faith	4944
201203	bad.faith	5290
201204	bad.faith	4413
201205	bad.faith	4859
201206	bad.faith	4513
201207	bad.faith	4828
201208	bad.faith	5016
201209	bad.faith	6074
201210	bad.faith	5437
201211	bad.faith	4521
201212	bad.faith	3485
200601	Sockpuppetry	63
200602	Sockpuppetry	53
200603	Sockpuppetry	113
200604	Sockpuppetry	122
200605	Sockpuppetry	182
200606	Sockpuppetry	202
200607	Sockpuppetry	251
200608	Sockpuppetry	196
200609	Sockpuppetry	188
200610	Sockpuppetry	238
200611	Sockpuppetry	204
200612	Sockpuppetry	410
200701	Sockpuppetry	320
200702	Sockpuppetry	333
200703	Sockpuppetry	290
200704	Sockpuppetry	411
200705	Sockpuppetry	311
200706	Sockpuppetry	376
200707	Sockpuppetry	284
200708	Sockpuppetry	308
200709	Sockpuppetry	309
200710	Sockpuppetry	411
200711	Sockpuppetry	327
200712	Sockpuppetry	423
200801	Sockpuppetry	377
200802	Sockpuppetry	405
200803	Sockpuppetry	400
200804	Sockpuppetry	434
200805	Sockpuppetry	534
200806	Sockpuppetry	521
200807	Sockpuppetry	1109
200808	Sockpuppetry	465
200809	Sockpuppetry	496
200810	Sockpuppetry	648
200811	Sockpuppetry	492
200812	Sockpuppetry	501
200901	Sockpuppetry	449
200902	Sockpuppetry	534
200903	Sockpuppetry	537
200904	Sockpuppetry	547
200905	Sockpuppetry	497
200906	Sockpuppetry	447
200907	Sockpuppetry	405
200908	Sockpuppetry	436
200909	Sockpuppetry	369
200910	Sockpuppetry	371
200911	Sockpuppetry	380
200912	Sockpuppetry	412
201001	Sockpuppetry	284
201002	Sockpuppetry	423
201003	Sockpuppetry	439
201004	Sockpuppetry	514
201005	Sockpuppetry	429
201006	Sockpuppetry	388
201007	Sockpuppetry	424
201008	Sockpuppetry	442
201009	Sockpuppetry	441
201010	Sockpuppetry	512
201011	Sockpuppetry	449
201012	Sockpuppetry	385
201101	Sockpuppetry	403
201102	Sockpuppetry	380
201103	Sockpuppetry	396
201104	Sockpuppetry	410
201105	Sockpuppetry	442
201106	Sockpuppetry	523
201107	Sockpuppetry	436
201108	Sockpuppetry	431
201109	Sockpuppetry	494
201110	Sockpuppetry	459
201111	Sockpuppetry	448
201112	Sockpuppetry	431
201201	Sockpuppetry	450
201202	Sockpuppetry	460
201203	Sockpuppetry	356
201204	Sockpuppetry	419
201205	Sockpuppetry	398
201206	Sockpuppetry	499
201207	Sockpuppetry	543
201208	Sockpuppetry	363
201209	Sockpuppetry	437
201210	Sockpuppetry	369
201211	Sockpuppetry	411
201212	Sockpuppetry	400
200601	Username.problems	3
200602	Username.problems	6
200603	Username.problems	10
200604	Username.problems	5
200605	Username.problems	4
200606	Username.problems	46
200607	Username.problems	11
200608	Username.problems	105
200609	Username.problems	4
200610	Username.problems	5
200611	Username.problems	4
200612	Username.problems	3
200701	Username.problems	11
200702	Username.problems	30
200703	Username.problems	44
200704	Username.problems	45
200705	Username.problems	23
200706	Username.problems	31
200707	Username.problems	47
200708	Username.problems	47
200709	Username.problems	27
200710	Username.problems	15
200711	Username.problems	16
200712	Username.problems	42
200801	Username.problems	38
200802	Username.problems	18
200803	Username.problems	46
200804	Username.problems	20
200805	Username.problems	6
200806	Username.problems	1
200807	Username.problems	9
200808	Username.problems	4
200809	Username.problems	29
200810	Username.problems	95
200811	Username.problems	41
200812	Username.problems	3
200901	Username.problems	0
200902	Username.problems	4
200903	Username.problems	2
200904	Username.problems	0
200905	Username.problems	9
200906	Username.problems	2
200907	Username.problems	0
200908	Username.problems	0
200909	Username.problems	0
200910	Username.problems	0
200911	Username.problems	1
200912	Username.problems	1
201001	Username.problems	3
201002	Username.problems	0
201003	Username.problems	0
201004	Username.problems	1
201005	Username.problems	3
201006	Username.problems	0
201007	Username.problems	0
201008	Username.problems	1
201009	Username.problems	1
201010	Username.problems	1
201011	Username.problems	0
201012	Username.problems	2
201101	Username.problems	1
201102	Username.problems	0
201103	Username.problems	1
201104	Username.problems	0
201105	Username.problems	0
201106	Username.problems	0
201107	Username.problems	0
201108	Username.problems	0
201109	Username.problems	1
201110	Username.problems	0
201111	Username.problems	1
201112	Username.problems	2
201201	Username.problems	1
201202	Username.problems	1
201203	Username.problems	1
201204	Username.problems	3
201205	Username.problems	0
201206	Username.problems	0
201207	Username.problems	2
201208	Username.problems	2
201209	Username.problems	1
201210	Username.problems	1
201211	Username.problems	2
201212	Username.problems	0
200601	Proxies	0
200602	Proxies	0
200603	Proxies	0
200604	Proxies	0
200605	Proxies	0
200606	Proxies	0
200607	Proxies	0
200608	Proxies	0
200609	Proxies	0
200610	Proxies	0
200611	Proxies	0
200612	Proxies	0
200701	Proxies	3
200702	Proxies	1
200703	Proxies	1
200704	Proxies	12
200705	Proxies	416
200706	Proxies	329
200707	Proxies	44
200708	Proxies	163
200709	Proxies	1927
200710	Proxies	122
200711	Proxies	249
200712	Proxies	185
200801	Proxies	112
200802	Proxies	250
200803	Proxies	307
