block_timestamp	variable	value
2006	spam	2818
2007	spam	3130
2008	spam	2031
2009	spam	1394
2010	spam	1057
2011	spam	769
2012	spam	3075
2006	bad.faith	87455
2007	bad.faith	107514
2008	bad.faith	93791
2009	bad.faith	68214
2010	bad.faith	63967
2011	bad.faith	63914
2012	bad.faith	58040
2006	Sockpuppetry	2222
2007	Sockpuppetry	4103
2008	Sockpuppetry	6382
2009	Sockpuppetry	5384
2010	Sockpuppetry	5130
2011	Sockpuppetry	5253
2012	Sockpuppetry	5105
2006	Username.problems	206
2007	Username.problems	378
2008	Username.problems	310
2009	Username.problems	19
2010	Username.problems	12
2011	Username.problems	6
2012	Username.problems	14
2006	Proxies	0
2007	Proxies	3452
2008	Proxies	12185
2009	Proxies	99741
2010	Proxies	106699
2011	Proxies	210065
2012	Proxies	202975
2006	Misc	8076
2007	Misc	18235
2008	Misc	6125
2009	Misc	4110
2010	Misc	1210
2011	Misc	958
2012	Misc	890
