block_timestamp	variable	value
2006	spam	37
2007	spam	97
2008	spam	6
2009	spam	5
2010	spam	1
2011	spam	1
2012	spam	8
2006	bad.faith	123
2007	bad.faith	58
2008	bad.faith	20
2009	bad.faith	11
2010	bad.faith	15
2011	bad.faith	58
2012	bad.faith	27
2006	Sockpuppetry	28
2007	Sockpuppetry	35
2008	Sockpuppetry	16
2009	Sockpuppetry	6
2010	Sockpuppetry	8
2011	Sockpuppetry	7
2012	Sockpuppetry	25
2006	Username.problems	10
2007	Username.problems	0
2008	Username.problems	0
2009	Username.problems	1
2010	Username.problems	0
2011	Username.problems	0
2012	Username.problems	3
2006	Proxies	2640
2007	Proxies	3356
2008	Proxies	446
2009	Proxies	24
2010	Proxies	11
2011	Proxies	4
2012	Proxies	11
2006	Misc	7049
2007	Misc	748
2008	Misc	2314
2009	Misc	8
2010	Misc	7
2011	Misc	4
2012	Misc	5
