block_timestamp	variable	value
200601	spam	161
200602	spam	146
200603	spam	194
200604	spam	172
200605	spam	257
200606	spam	224
200607	spam	206
200608	spam	185
200609	spam	285
200610	spam	315
200611	spam	313
200612	spam	360
200701	spam	489
200702	spam	358
200703	spam	271
200704	spam	264
200705	spam	224
200706	spam	251
200707	spam	238
200708	spam	240
200709	spam	199
200710	spam	188
200711	spam	221
200712	spam	187
200801	spam	183
200802	spam	141
200803	spam	226
200804	spam	171
200805	spam	182
200806	spam	175
200807	spam	129
200808	spam	153
200809	spam	178
200810	spam	182
200811	spam	150
200812	spam	161
200901	spam	104
200902	spam	90
200903	spam	138
200904	spam	73
200905	spam	78
200906	spam	207
200907	spam	215
200908	spam	150
200909	spam	98
200910	spam	87
200911	spam	64
200912	spam	90
201001	spam	87
201002	spam	73
201003	spam	99
201004	spam	101
201005	spam	102
201006	spam	78
201007	spam	99
201008	spam	93
201009	spam	69
201010	spam	89
201011	spam	88
201012	spam	79
201101	spam	81
201102	spam	77
201103	spam	56
201104	spam	59
201105	spam	51
201106	spam	52
201107	spam	55
201108	spam	71
201109	spam	58
201110	spam	74
201111	spam	64
201112	spam	71
201201	spam	104
201202	spam	167
201203	spam	80
201204	spam	357
201205	spam	354
201206	spam	531
201207	spam	340
201208	spam	347
201209	spam	285
201210	spam	152
201211	spam	210
201212	spam	148
200601	bad.faith	6169
200602	bad.faith	6549
200603	bad.faith	7730
200604	bad.faith	7060
200605	bad.faith	9629
200606	bad.faith	5783
200607	bad.faith	4558
200608	bad.faith	4925
200609	bad.faith	7462
200610	bad.faith	9724
200611	bad.faith	9808
200612	bad.faith	7199
200701	bad.faith	8936
200702	bad.faith	9809
200703	bad.faith	11525
200704	bad.faith	9967
200705	bad.faith	10257
200706	bad.faith	6944
200707	bad.faith	5390
200708	bad.faith	6359
200709	bad.faith	9785
200710	bad.faith	11045
200711	bad.faith	9729
200712	bad.faith	7326
200801	bad.faith	10038
200802	bad.faith	10159
200803	bad.faith	9229
200804	bad.faith	9396
200805	bad.faith	8466
200806	bad.faith	5468
200807	bad.faith	4013
200808	bad.faith	5122
200809	bad.faith	8848
200810	bad.faith	9575
200811	bad.faith	7312
200812	bad.faith	6013
200901	bad.faith	7709
200902	bad.faith	6972
200903	bad.faith	7721
200904	bad.faith	6350
200905	bad.faith	6413
200906	bad.faith	4125
200907	bad.faith	2920
200908	bad.faith	3640
200909	bad.faith	5361
200910	bad.faith	6558
200911	bad.faith	5744
200912	bad.faith	4630
201001	bad.faith	5459
201002	bad.faith	6092
201003	bad.faith	7121
201004	bad.faith	6365
201005	bad.faith	5815
201006	bad.faith	4008
201007	bad.faith	3180
201008	bad.faith	3513
201009	bad.faith	5200
201010	bad.faith	5887
201011	bad.faith	6108
201012	bad.faith	5182
201101	bad.faith	5377
201102	bad.faith	4533
201103	bad.faith	4605
201104	bad.faith	3738
201105	bad.faith	4579
201106	bad.faith	4670
201107	bad.faith	5098
201108	bad.faith	3143
201109	bad.faith	10984
201110	bad.faith	7573
201111	bad.faith	5663
201112	bad.faith	3910
201201	bad.faith	4656
201202	bad.faith	4942
201203	bad.faith	5285
201204	bad.faith	4411
201205	bad.faith	4857
201206	bad.faith	4511
201207	bad.faith	4825
201208	bad.faith	5014
201209	bad.faith	6074
201210	bad.faith	5434
201211	bad.faith	4519
201212	bad.faith	3481
200601	Sockpuppetry	63
200602	Sockpuppetry	61
200603	Sockpuppetry	113
200604	Sockpuppetry	123
200605	Sockpuppetry	183
200606	Sockpuppetry	205
200607	Sockpuppetry	252
200608	Sockpuppetry	196
200609	Sockpuppetry	188
200610	Sockpuppetry	239
200611	Sockpuppetry	207
200612	Sockpuppetry	412
200701	Sockpuppetry	320
200702	Sockpuppetry	333
200703	Sockpuppetry	291
200704	Sockpuppetry	412
200705	Sockpuppetry	314
200706	Sockpuppetry	378
200707	Sockpuppetry	285
200708	Sockpuppetry	308
200709	Sockpuppetry	310
200710	Sockpuppetry	412
200711	Sockpuppetry	329
200712	Sockpuppetry	423
200801	Sockpuppetry	379
200802	Sockpuppetry	406
200803	Sockpuppetry	402
200804	Sockpuppetry	437
200805	Sockpuppetry	535
200806	Sockpuppetry	526
200807	Sockpuppetry	1109
200808	Sockpuppetry	500
200809	Sockpuppetry	498
200810	Sockpuppetry	650
200811	Sockpuppetry	493
200812	Sockpuppetry	502
200901	Sockpuppetry	450
200902	Sockpuppetry	534
200903	Sockpuppetry	541
200904	Sockpuppetry	547
200905	Sockpuppetry	497
200906	Sockpuppetry	448
200907	Sockpuppetry	405
200908	Sockpuppetry	439
200909	Sockpuppetry	371
200910	Sockpuppetry	371
200911	Sockpuppetry	380
200912	Sockpuppetry	412
201001	Sockpuppetry	285
201002	Sockpuppetry	423
201003	Sockpuppetry	439
201004	Sockpuppetry	514
201005	Sockpuppetry	429
201006	Sockpuppetry	391
201007	Sockpuppetry	424
201008	Sockpuppetry	444
201009	Sockpuppetry	442
201010	Sockpuppetry	514
201011	Sockpuppetry	450
201012	Sockpuppetry	385
201101	Sockpuppetry	403
201102	Sockpuppetry	381
201103	Sockpuppetry	399
201104	Sockpuppetry	410
201105	Sockpuppetry	442
201106	Sockpuppetry	523
201107	Sockpuppetry	437
201108	Sockpuppetry	433
201109	Sockpuppetry	494
201110	Sockpuppetry	462
201111	Sockpuppetry	449
201112	Sockpuppetry	431
201201	Sockpuppetry	452
201202	Sockpuppetry	460
201203	Sockpuppetry	359
201204	Sockpuppetry	421
201205	Sockpuppetry	400
201206	Sockpuppetry	501
201207	Sockpuppetry	543
201208	Sockpuppetry	364
201209	Sockpuppetry	437
201210	Sockpuppetry	370
201211	Sockpuppetry	412
201212	Sockpuppetry	400
200601	Username.problems	3
200602	Username.problems	6
200603	Username.problems	10
200604	Username.problems	5
200605	Username.problems	4
200606	Username.problems	46
200607	Username.problems	11
200608	Username.problems	105
200609	Username.problems	4
200610	Username.problems	5
200611	Username.problems	4
200612	Username.problems	4
200701	Username.problems	11
200702	Username.problems	31
200703	Username.problems	44
200704	Username.problems	45
200705	Username.problems	23
200706	Username.problems	31
200707	Username.problems	47
200708	Username.problems	47
200709	Username.problems	27
200710	Username.problems	15
200711	Username.problems	16
200712	Username.problems	42
200801	Username.problems	39
200802	Username.problems	18
200803	Username.problems	46
200804	Username.problems	20
200805	Username.problems	6
200806	Username.problems	1
200807	Username.problems	9
200808	Username.problems	4
200809	Username.problems	29
200810	Username.problems	96
200811	Username.problems	41
200812	Username.problems	3
200901	Username.problems	0
200902	Username.problems	4
200903	Username.problems	2
200904	Username.problems	0
200905	Username.problems	9
200906	Username.problems	2
200907	Username.problems	0
200908	Username.problems	0
200909	Username.problems	0
200910	Username.problems	0
200911	Username.problems	1
200912	Username.problems	1
201001	Username.problems	3
201002	Username.problems	0
201003	Username.problems	0
201004	Username.problems	1
201005	Username.problems	3
201006	Username.problems	0
201007	Username.problems	0
201008	Username.problems	1
201009	Username.problems	1
201010	Username.problems	1
201011	Username.problems	0
201012	Username.problems	2
201101	Username.problems	1
201102	Username.problems	0
201103	Username.problems	1
201104	Username.problems	0
201105	Username.problems	0
201106	Username.problems	0
201107	Username.problems	0
201108	Username.problems	0
201109	Username.problems	1
201110	Username.problems	0
201111	Username.problems	1
201112	Username.problems	2
201201	Username.problems	1
201202	Username.problems	1
201203	Username.problems	1
201204	Username.problems	3
201205	Username.problems	0
201206	Username.problems	0
201207	Username.problems	2
201208	Username.problems	2
201209	Username.problems	1
201210	Username.problems	1
201211	Username.problems	2
201212	Username.problems	0
200601	Proxies	0
200602	Proxies	0
200603	Proxies	0
200604	Proxies	0
200605	Proxies	0
200606	Proxies	0
200607	Proxies	0
200608	Proxies	0
200609	Proxies	0
200610	Proxies	0
200611	Proxies	0
200612	Proxies	0
200701	Proxies	3
200702	Proxies	1
200703	Proxies	1
200704	Proxies	12
200705	Proxies	416
200706	Proxies	329
200707	Proxies	44
200708	Proxies	163
200709	Proxies	1927
200710	Proxies	122
200711	Proxies	249
200712	Proxies	185
200801	Proxies	112
200802	Proxies	250
200803	Proxies	307
