block_timestamp	variable	value
2006	spam	2818
2007	spam	3130
2008	spam	2031
2009	spam	1394
2010	spam	1057
2011	spam	769
2012	spam	3075
2006	bad.faith	86596
2007	bad.faith	107072
2008	bad.faith	93639
2009	bad.faith	68143
2010	bad.faith	63930
2011	bad.faith	63873
2012	bad.faith	58009
2006	Sockpuppetry	2242
2007	Sockpuppetry	4115
2008	Sockpuppetry	6437
2009	Sockpuppetry	5395
2010	Sockpuppetry	5140
2011	Sockpuppetry	5264
2012	Sockpuppetry	5119
2006	Username.problems	207
2007	Username.problems	379
2008	Username.problems	312
2009	Username.problems	19
2010	Username.problems	12
2011	Username.problems	6
2012	Username.problems	14
2006	Proxies	0
2007	Proxies	3452
2008	Proxies	12186
2009	Proxies	99742
2010	Proxies	106699
2011	Proxies	210065
2012	Proxies	202975
2006	Misc	8914
2007	Misc	18664
2008	Misc	6219
2009	Misc	4168
2010	Misc	1237
2011	Misc	987
2012	Misc	906
