"block_timestamp"	"reason"	"userid"	"matched"
"200601"	"Horrific abuse of template namespace to attack contributors and spam talk pages to affect an RfC"	65257	1
"200601"	"Vandalism of [[Pakistan]] , link spamming, user page vandalism"	696162	1
"200601"	"spamming"	800289	1
"200601"	"link spammer"	800289	1
"200601"	"Previous blocked spammer"	764714	1
"200601"	"[[Wikipedia:Spam|Spamming]], [[Wikipedia:Three-revert rule|three-revert rule]] violation and [[Wikipedia:Edit war|edit warring]] on [[Believers baptism]] and [[Born again]]"	742566	1
"200601"	"Please don't spam AFD nominations to solicit votes."	166035	1
"200601"	"forum POV spam"	611049	1
"200601"	"persistent spamming"	483844	1
"200601"	"Horrific abuse of template namespace to attack contributors and spam talk pages to affect an RfC"	78089	1
"200601"	"Horrific abuse of template namespace to attack contributors and spam talk pages to affect an RfC"	741393	1
"200601"	"continued spam"	630288	1
"200602"	"shorten length, blocking for spamlink"	967174	1
"200602"	"link spam"	977571	1
"200602"	"Blocked for spamming country articles despite warning"	954502	1
"200602"	"spamming"	886526	1
"200602"	"linkspamming, was warned"	975015	1
"200602"	"Spamming, deleting real content to replace with spam"	975847	1
"200602"	"Spamlinking, was warned"	584038	1
"200602"	"linkspamming  again"	104749	1
"200603"	"Persistent spamming"	584218	1
"200603"	"spamming"	404841	1
"200603"	"spamming"	1145040	1
"200603"	"Personal attack spamming on userpages (apparently bot-assisted)"	561598	1
"200603"	"Spamming"	1042748	1
"200603"	"User indicated he intends to continue spamming.  I am therefore extending Kelly's block."	741964	1
"200603"	"linkspam..."	1086362	1
"200604"	"spam multiple pages"	1218806	1
"200604"	"spamming links to a cite, warned already to stop"	1340027	1
"200604"	"link spam"	1345252	1
"200604"	"Spamming ([Wikipedia_talk:Censorship] on user talk pages)"	283239	1
"200604"	"spamming"	1227616	1
"200604"	"returning spammer, ignored warnings and earlier block"	1195224	1
"200604"	"blocked after multiple warnings about copyright violations and linkspam"	1155455	1
"200604"	"link spammer"	1228684	1
"200604"	"Persistent spamming"	1325412	1
"200604"	"excessive spamming and vandalism"	1198990	1
"200605"	"talk page spamming / POV pushing / incivility"	6549	1
"200605"	"spam"	1537912	1
"200605"	"vandalism, promotion, 2nd block"	1265924	1
"200605"	"link spamming"	1056048	1
"200605"	"linkspam"	1283674	1
"200605"	"Linkspam"	1058527	1
"200605"	"spam"	1373467	1
"200605"	"spammer"	1014122	1
"200605"	"link spamming"	1448399	1
"200605"	"spam ignored warning"	1468288	1
"200605"	"All contributions have been insertion of spam continued after warnings"	1452198	1
"200605"	"3rr/linkspam on hapa"	1211608	1
"200606"	"spambot"	1513807	1
