block_timestamp	variable	value
200601	spam	0
200602	spam	0
200603	spam	13
200604	spam	3
200605	spam	1
200606	spam	3
200607	spam	4
200608	spam	2
200609	spam	0
200610	spam	5
200611	spam	4
200612	spam	2
200701	spam	21
200702	spam	2
200703	spam	0
200704	spam	0
200705	spam	1
200706	spam	0
200707	spam	2
200708	spam	24
200709	spam	8
200710	spam	9
200711	spam	5
200712	spam	25
200801	spam	4
200802	spam	0
200803	spam	1
200804	spam	0
200805	spam	1
200806	spam	0
200807	spam	0
200808	spam	0
200809	spam	0
200810	spam	0
200811	spam	0
200812	spam	0
200901	spam	0
200902	spam	0
200903	spam	1
200904	spam	0
200905	spam	0
200906	spam	0
200907	spam	1
200908	spam	1
200909	spam	0
200910	spam	0
200911	spam	0
200912	spam	2
201001	spam	0
201002	spam	0
201003	spam	0
201004	spam	1
201005	spam	0
201006	spam	0
201007	spam	0
201008	spam	0
201009	spam	0
201010	spam	0
201011	spam	0
201012	spam	0
201101	spam	0
201102	spam	0
201105	spam	0
201106	spam	0
201107	spam	0
201108	spam	0
201109	spam	0
201110	spam	0
201111	spam	1
201112	spam	0
201201	spam	0
201202	spam	0
201203	spam	1
201204	spam	1
201205	spam	0
201206	spam	0
201207	spam	1
201208	spam	0
201209	spam	5
201210	spam	0
201211	spam	0
201212	spam	0
200601	bad.faith	3
200602	bad.faith	34
200603	bad.faith	65
200604	bad.faith	4
200605	bad.faith	1
200606	bad.faith	3
200607	bad.faith	5
200608	bad.faith	2
200609	bad.faith	2
200610	bad.faith	2
200611	bad.faith	1
200612	bad.faith	1
200701	bad.faith	4
200702	bad.faith	2
200703	bad.faith	7
200704	bad.faith	2
200705	bad.faith	16
200706	bad.faith	16
200707	bad.faith	3
200708	bad.faith	2
200709	bad.faith	1
200710	bad.faith	3
200711	bad.faith	1
200712	bad.faith	1
200801	bad.faith	0
200802	bad.faith	3
200803	bad.faith	2
200804	bad.faith	1
200805	bad.faith	2
200806	bad.faith	0
200807	bad.faith	1
200808	bad.faith	1
200809	bad.faith	1
200810	bad.faith	2
200811	bad.faith	6
200812	bad.faith	1
200901	bad.faith	1
200902	bad.faith	1
200903	bad.faith	2
200904	bad.faith	2
200905	bad.faith	0
200906	bad.faith	0
200907	bad.faith	1
200908	bad.faith	1
200909	bad.faith	1
200910	bad.faith	1
200911	bad.faith	0
200912	bad.faith	1
201001	bad.faith	1
201002	bad.faith	1
201003	bad.faith	2
201004	bad.faith	0
201005	bad.faith	1
201006	bad.faith	0
201007	bad.faith	1
201008	bad.faith	1
201009	bad.faith	1
201010	bad.faith	3
201011	bad.faith	3
201012	bad.faith	1
201101	bad.faith	0
201102	bad.faith	0
201105	bad.faith	1
201106	bad.faith	1
201107	bad.faith	1
201108	bad.faith	1
201109	bad.faith	6
201110	bad.faith	21
201111	bad.faith	7
201112	bad.faith	20
201201	bad.faith	6
201202	bad.faith	2
201203	bad.faith	2
201204	bad.faith	1
201205	bad.faith	0
201206	bad.faith	2
201207	bad.faith	4
201208	bad.faith	1
201209	bad.faith	4
201210	bad.faith	1
201211	bad.faith	2
201212	bad.faith	2
200601	Sockpuppetry	1
200602	Sockpuppetry	0
200603	Sockpuppetry	0
200604	Sockpuppetry	0
200605	Sockpuppetry	5
200606	Sockpuppetry	3
200607	Sockpuppetry	3
200608	Sockpuppetry	3
200609	Sockpuppetry	2
200610	Sockpuppetry	1
200611	Sockpuppetry	2
200612	Sockpuppetry	8
200701	Sockpuppetry	2
200702	Sockpuppetry	2
200703	Sockpuppetry	16
200704	Sockpuppetry	4
200705	Sockpuppetry	4
200706	Sockpuppetry	6
200707	Sockpuppetry	0
200708	Sockpuppetry	1
200709	Sockpuppetry	0
200710	Sockpuppetry	0
200711	Sockpuppetry	0
200712	Sockpuppetry	0
200801	Sockpuppetry	1
200802	Sockpuppetry	2
200803	Sockpuppetry	0
200804	Sockpuppetry	3
200805	Sockpuppetry	5
200806	Sockpuppetry	2
200807	Sockpuppetry	0
200808	Sockpuppetry	1
200809	Sockpuppetry	0
200810	Sockpuppetry	0
200811	Sockpuppetry	1
200812	Sockpuppetry	1
200901	Sockpuppetry	0
200902	Sockpuppetry	0
200903	Sockpuppetry	0
200904	Sockpuppetry	1
200905	Sockpuppetry	1
200906	Sockpuppetry	0
200907	Sockpuppetry	1
200908	Sockpuppetry	0
200909	Sockpuppetry	1
200910	Sockpuppetry	1
200911	Sockpuppetry	1
200912	Sockpuppetry	0
201001	Sockpuppetry	0
201002	Sockpuppetry	1
201003	Sockpuppetry	2
201004	Sockpuppetry	1
201005	Sockpuppetry	0
201006	Sockpuppetry	0
201007	Sockpuppetry	0
201008	Sockpuppetry	0
201009	Sockpuppetry	0
201010	Sockpuppetry	0
201011	Sockpuppetry	3
201012	Sockpuppetry	1
201101	Sockpuppetry	0
201102	Sockpuppetry	2
201105	Sockpuppetry	1
201106	Sockpuppetry	0
201107	Sockpuppetry	1
201108	Sockpuppetry	0
201109	Sockpuppetry	1
201110	Sockpuppetry	0
201111	Sockpuppetry	1
201112	Sockpuppetry	1
201201	Sockpuppetry	1
201202	Sockpuppetry	0
201203	Sockpuppetry	0
201204	Sockpuppetry	0
201205	Sockpuppetry	5
201206	Sockpuppetry	2
201207	Sockpuppetry	0
201208	Sockpuppetry	1
201209	Sockpuppetry	15
201210	Sockpuppetry	0
201211	Sockpuppetry	1
201212	Sockpuppetry	0
200601	Username.problems	0
200602	Username.problems	0
200603	Username.problems	0
200604	Username.problems	0
200605	Username.problems	0
200606	Username.problems	0
200607	Username.problems	9
200608	Username.problems	0
200609	Username.problems	0
200610	Username.problems	1
200611	Username.problems	0
200612	Username.problems	0
200701	Username.problems	0
200702	Username.problems	0
200703	Username.problems	0
200704	Username.problems	0
200705	Username.problems	0
200706	Username.problems	0
200707	Username.problems	0
200708	Username.problems	0
200709	Username.problems	0
200710	Username.problems	0
200711	Username.problems	0
200712	Username.problems	0
200801	Username.problems	0
200802	Username.problems	0
200803	Username.problems	0
200804	Username.problems	0
200805	Username.problems	0
200806	Username.problems	0
200807	Username.problems	0
200808	Username.problems	0
200809	Username.problems	0
200810	Username.problems	0
200811	Username.problems	0
200812	Username.problems	0
200901	Username.problems	0
200902	Username.problems	0
200903	Username.problems	1
200904	Username.problems	0
200905	Username.problems	0
200906	Username.problems	0
200907	Username.problems	0
200908	Username.problems	0
200909	Username.problems	0
200910	Username.problems	0
200911	Username.problems	0
200912	Username.problems	0
201001	Username.problems	0
201002	Username.problems	0
201003	Username.problems	0
201004	Username.problems	0
201005	Username.problems	0
201006	Username.problems	0
201007	Username.problems	0
201008	Username.problems	0
201009	Username.problems	0
201010	Username.problems	0
201011	Username.problems	0
201012	Username.problems	0
201101	Username.problems	0
201102	Username.problems	0
201105	Username.problems	0
201106	Username.problems	0
201107	Username.problems	0
201108	Username.problems	0
201109	Username.problems	0
201110	Username.problems	0
201111	Username.problems	0
201112	Username.problems	0
201201	Username.problems	0
201202	Username.problems	0
201203	Username.problems	0
201204	Username.problems	1
201205	Username.problems	0
201206	Username.problems	1
201207	Username.problems	0
201208	Username.problems	0
201209	Username.problems	0
201210	Username.problems	0
201211	Username.problems	1
201212	Username.problems	0
200601	Proxies	41
200602	Proxies	976
200603	Proxies	516
200604	Proxies	599
200605	Proxies	84
200606	Proxies	75
200607	Proxies	242
200608	Proxies	14
200609	Proxies	11
200610	Proxies	38
200611	Proxies	24
200612	Proxies	20
200701	Proxies	24
200702	Proxies	117
200703	Proxies	62
200704	Proxies	57
200705	Proxies	101
200706	Proxies	435
200707	Proxies	518
200708	Proxies	1705
200709	Proxies	239
200710	Proxies	35
200711	Proxies	34
200712	Proxies	29
200801	Proxies	330
200802	Proxies	7
200803	Proxies	15
200804	Proxies	12
200805	Proxies	6
200806	Proxies	14
200807	Proxies	15
200808	Proxies	15
200809	Proxies	19
200810	Proxies	5
200811	Proxies	5
200812	Proxies	3
200901	Proxies	0
200902	Proxies	9
200903	Proxies	6
200904	Proxies	1
200905	Proxies	3
200906	Proxies	1
200907	Proxies	2
200908	Proxies	2
200909	Proxies	0
200910	Proxies	0
200911	Proxies	0
200912	Proxies	0
201001	Proxies	2
201002	Proxies	1
201003	Proxies	0
201004	Proxies	0
201005	Proxies	1
201006	Proxies	1
201007	Proxies	0
201008	Proxies	3
201009	Proxies	1
201010	Proxies	0
201011	Proxies	1
201012	Proxies	1
201101	Proxies	0
201102	Proxies	0
201105	Proxies	0
201106	Proxies	0
201107	Proxies	1
201108	Proxies	0
201109	Proxies	1
201110	Proxies	2
201111	Proxies	0
201112	Proxies	0
201201	Proxies	0
201202	Proxies	1
201203	Proxies	0
201204	Proxies	3
201205	Proxies	1
201206	Proxies	0
201207	Proxies	0
201208	Proxies	1
201209	Proxies	0
201210	Proxies	3
201211	Proxies	1
201212	Proxies	1
200601	Misc	24
200602	Misc	602
200603	Misc	322
200604	Misc	2431
200605	Misc	1262
200606	Misc	1308
200607	Misc	130
200608	Misc	225
200609	Misc	185
200610	Misc	167
200611	Misc	284
200612	Misc	109
200701	Misc	156
200702	Misc	134
200703	Misc	103
200704	Misc	123
200705	Misc	97
200706	Misc	35
200707	Misc	17
200708	Misc	19
200709	Misc	28
200710	Misc	16
200711	Misc	20
200712	Misc	0
200801	Misc	1
200802	Misc	8
200803	Misc	21
200804	Misc	2267
200805	Misc	6
200806	Misc	1
200807	Misc	2
200808	Misc	1
200809	Misc	2
200810	Misc	2
200811	Misc	2
200812	Misc	1
200901	Misc	1
200902	Misc	0
200903	Misc	4
200904	Misc	1
200905	Misc	1
200906	Misc	0
200907	Misc	0
200908	Misc	0
200909	Misc	0
200910	Misc	1
200911	Misc	0
200912	Misc	0
201001	Misc	1
201002	Misc	0
201003	Misc	1
201004	Misc	1
201005	Misc	0
201006	Misc	0
201007	Misc	1
201008	Misc	1
201009	Misc	0
201010	Misc	0
201011	Misc	1
201012	Misc	1
201101	Misc	1
201102	Misc	0
201105	Misc	0
201106	Misc	1
201107	Misc	0
201108	Misc	0
201109	Misc	0
201110	Misc	1
201111	Misc	0
201112	Misc	1
201201	Misc	1
201202	Misc	0
201203	Misc	0
201204	Misc	2
201205	Misc	0
201206	Misc	1
201207	Misc	0
201208	Misc	1
201209	Misc	0
201210	Misc	0
201211	Misc	0
201212	Misc	0
