block_timestamp	variable	value
2006	spam	1335
2007	spam	3285
2008	spam	7034
2009	spam	15951
2010	spam	15995
2011	spam	16988
2012	spam	19804
2006	bad.faith	25401
2007	bad.faith	38723
2008	bad.faith	30269
2009	bad.faith	28789
2010	bad.faith	24729
2011	bad.faith	20436
2012	bad.faith	18199
2006	Sockpuppetry	6344
2007	Sockpuppetry	12089
2008	Sockpuppetry	17572
2009	Sockpuppetry	20277
2010	Sockpuppetry	17129
2011	Sockpuppetry	16297
2012	Sockpuppetry	13727
2006	Username.problems	24041
2007	Username.problems	24533
2008	Username.problems	17741
2009	Username.problems	16237
2010	Username.problems	17538
2011	Username.problems	14651
2012	Username.problems	11515
2006	Proxies	2
2007	Proxies	1
2008	Proxies	0
2009	Proxies	2
2010	Proxies	5
2011	Proxies	3
2012	Proxies	0
