block_timestamp	variable	value
2006	spam	1685
2007	spam	3592
2008	spam	6516
2009	spam	13481
2010	spam	13470
2011	spam	14386
2012	spam	16726
2006	bad.faith	27862
2007	bad.faith	42119
2008	bad.faith	34604
2009	bad.faith	26347
2010	bad.faith	24725
2011	bad.faith	21059
2012	bad.faith	18399
2006	Sockpuppetry	4886
2007	Sockpuppetry	9364
2008	Sockpuppetry	15217
2009	Sockpuppetry	13776
2010	Sockpuppetry	12267
2011	Sockpuppetry	12167
2012	Sockpuppetry	10669
2006	Username.problems	15434
2007	Username.problems	18007
2008	Username.problems	14240
2009	Username.problems	12014
2010	Username.problems	13433
2011	Username.problems	11781
2012	Username.problems	9043
2006	Proxies	10
2007	Proxies	4
2008	Proxies	4
2009	Proxies	2
2010	Proxies	7
2011	Proxies	2
2012	Proxies	1
