block_timestamp	variable	value
200601	spam	26
200602	spam	26
200603	spam	30
200604	spam	27
200605	spam	50
200606	spam	94
200607	spam	119
200608	spam	94
200609	spam	174
200610	spam	198
200611	spam	324
200612	spam	173
200701	spam	197
200702	spam	259
200703	spam	332
200704	spam	274
200705	spam	215
200706	spam	212
200707	spam	285
200708	spam	391
200709	spam	329
200710	spam	302
200711	spam	259
200712	spam	230
200801	spam	305
200802	spam	333
200803	spam	404
200804	spam	478
200805	spam	594
200806	spam	556
200807	spam	747
200808	spam	658
200809	spam	732
200810	spam	861
200811	spam	627
200812	spam	739
200901	spam	1045
200902	spam	1116
200903	spam	1088
200904	spam	1375
200905	spam	1304
200906	spam	2530
200907	spam	1871
200908	spam	1547
200909	spam	1191
200910	spam	929
200911	spam	771
200912	spam	1184
201001	spam	1038
201002	spam	917
201003	spam	1139
201004	spam	1491
201005	spam	1509
201006	spam	1815
201007	spam	1278
201008	spam	1112
201009	spam	1245
201010	spam	1283
201011	spam	1574
201012	spam	1594
201101	spam	1582
201102	spam	1325
201103	spam	1450
201104	spam	1032
201105	spam	1020
201106	spam	1344
201107	spam	1347
201108	spam	1815
201109	spam	1454
201110	spam	1610
201111	spam	1445
201112	spam	1564
201201	spam	1497
201202	spam	1494
201203	spam	1478
201204	spam	1325
201205	spam	1949
201206	spam	1587
201207	spam	1721
201208	spam	1509
201209	spam	1766
201210	spam	2199
201211	spam	1531
201212	spam	1744
200601	bad.faith	1437
200602	bad.faith	1565
200603	bad.faith	1832
200604	bad.faith	1721
200605	bad.faith	2162
200606	bad.faith	1582
200607	bad.faith	1877
200608	bad.faith	2205
200609	bad.faith	2286
200610	bad.faith	2786
200611	bad.faith	3170
200612	bad.faith	2948
200701	bad.faith	3489
200702	bad.faith	3675
200703	bad.faith	4356
200704	bad.faith	3952
200705	bad.faith	3921
200706	bad.faith	2964
200707	bad.faith	2381
200708	bad.faith	2393
200709	bad.faith	2827
200710	bad.faith	3378
200711	bad.faith	3238
200712	bad.faith	2386
200801	bad.faith	2773
200802	bad.faith	2904
200803	bad.faith	3111
200804	bad.faith	3296
200805	bad.faith	3173
200806	bad.faith	2026
200807	bad.faith	1864
200808	bad.faith	1694
200809	bad.faith	2162
200810	bad.faith	3009
200811	bad.faith	2279
200812	bad.faith	2122
200901	bad.faith	2870
200902	bad.faith	2631
200903	bad.faith	2709
200904	bad.faith	2893
200905	bad.faith	2362
200906	bad.faith	2147
200907	bad.faith	1685
200908	bad.faith	1584
200909	bad.faith	2614
200910	bad.faith	3172
200911	bad.faith	2245
200912	bad.faith	1936
201001	bad.faith	2233
201002	bad.faith	2634
201003	bad.faith	2966
201004	bad.faith	2454
201005	bad.faith	2383
201006	bad.faith	1943
201007	bad.faith	1577
201008	bad.faith	1355
201009	bad.faith	1731
201010	bad.faith	1985
201011	bad.faith	1838
201012	bad.faith	1674
201101	bad.faith	1791
201102	bad.faith	1847
201103	bad.faith	1960
201104	bad.faith	1872
201105	bad.faith	1891
201106	bad.faith	1686
201107	bad.faith	1350
201108	bad.faith	1465
201109	bad.faith	1594
201110	bad.faith	1727
201111	bad.faith	1788
201112	bad.faith	1497
201201	bad.faith	1735
201202	bad.faith	1760
201203	bad.faith	1608
201204	bad.faith	1351
201205	bad.faith	1590
201206	bad.faith	1323
201207	bad.faith	1160
201208	bad.faith	1243
201209	bad.faith	1481
201210	bad.faith	2112
201211	bad.faith	1549
201212	bad.faith	1402
200601	Sockpuppetry	325
200602	Sockpuppetry	374
200603	Sockpuppetry	297
200604	Sockpuppetry	481
200605	Sockpuppetry	360
200606	Sockpuppetry	479
200607	Sockpuppetry	734
200608	Sockpuppetry	817
200609	Sockpuppetry	585
200610	Sockpuppetry	525
200611	Sockpuppetry	674
200612	Sockpuppetry	671
200701	Sockpuppetry	976
200702	Sockpuppetry	1075
200703	Sockpuppetry	1027
200704	Sockpuppetry	1266
200705	Sockpuppetry	1118
200706	Sockpuppetry	935
200707	Sockpuppetry	771
200708	Sockpuppetry	729
200709	Sockpuppetry	865
200710	Sockpuppetry	1009
200711	Sockpuppetry	1211
200712	Sockpuppetry	1072
200801	Sockpuppetry	1297
200802	Sockpuppetry	1132
200803	Sockpuppetry	1548
200804	Sockpuppetry	1288
200805	Sockpuppetry	1785
200806	Sockpuppetry	1235
200807	Sockpuppetry	1334
200808	Sockpuppetry	1713
200809	Sockpuppetry	1944
200810	Sockpuppetry	1714
200811	Sockpuppetry	1307
200812	Sockpuppetry	1259
200901	Sockpuppetry	1544
200902	Sockpuppetry	4031
200903	Sockpuppetry	2285
200904	Sockpuppetry	1592
200905	Sockpuppetry	1153
200906	Sockpuppetry	1175
200907	Sockpuppetry	1532
200908	Sockpuppetry	1444
200909	Sockpuppetry	1469
200910	Sockpuppetry	1486
200911	Sockpuppetry	1283
200912	Sockpuppetry	1267
201001	Sockpuppetry	1181
201002	Sockpuppetry	1164
201003	Sockpuppetry	2244
201004	Sockpuppetry	1237
201005	Sockpuppetry	1492
201006	Sockpuppetry	1264
201007	Sockpuppetry	1224
201008	Sockpuppetry	1160
201009	Sockpuppetry	1492
201010	Sockpuppetry	1572
201011	Sockpuppetry	1769
201012	Sockpuppetry	1320
201101	Sockpuppetry	1299
201102	Sockpuppetry	1222
201103	Sockpuppetry	1548
201104	Sockpuppetry	1593
201105	Sockpuppetry	1364
201106	Sockpuppetry	1567
201107	Sockpuppetry	1370
201108	Sockpuppetry	1475
201109	Sockpuppetry	1353
201110	Sockpuppetry	1291
201111	Sockpuppetry	1175
201112	Sockpuppetry	1034
201201	Sockpuppetry	1021
201202	Sockpuppetry	1257
201203	Sockpuppetry	1176
201204	Sockpuppetry	1316
201205	Sockpuppetry	1167
201206	Sockpuppetry	1193
201207	Sockpuppetry	1134
201208	Sockpuppetry	1068
201209	Sockpuppetry	1080
201210	Sockpuppetry	1089
201211	Sockpuppetry	962
201212	Sockpuppetry	1133
200601	Username.problems	826
200602	Username.problems	957
200603	Username.problems	1414
200604	Username.problems	1334
200605	Username.problems	1285
200606	Username.problems	1620
200607	Username.problems	2058
200608	Username.problems	2706
200609	Username.problems	3279
200610	Username.problems	2897
200611	Username.problems	3291
200612	Username.problems	2312
200701	Username.problems	2210
200702	Username.problems	2922
200703	Username.problems	2842
200704	Username.problems	1941
200705	Username.problems	2043
200706	Username.problems	1752
200707	Username.problems	1993
200708	Username.problems	1686
200709	Username.problems	1610
200710	Username.problems	1788
200711	Username.problems	1945
200712	Username.problems	1678
200801	Username.problems	1934
200802	Username.problems	2208
200803	Username.problems	2519
200804	Username.problems	1806
200805	Username.problems	1726
200806	Username.problems	1171
200807	Username.problems	1063
200808	Username.problems	957
200809	Username.problems	1090
200810	Username.problems	1315
200811	Username.problems	1044
200812	Username.problems	818
200901	Username.problems	1031
200902	Username.problems	1039
200903	Username.problems	1202
200904	Username.problems	1243
200905	Username.problems	1302
200906	Username.problems	1544
200907	Username.problems	1997
200908	Username.problems	1460
200909	Username.problems	1415
200910	Username.problems	1857
200911	Username.problems	1071
200912	Username.problems	1058
201001	Username.problems	1423
201002	Username.problems	1405
201003	Username.problems	1955
201004	Username.problems	1082
201005	Username.problems	1150
201006	Username.problems	1079
201007	Username.problems	1291
201008	Username.problems	1334
201009	Username.problems	2801
201010	Username.problems	1856
201011	Username.problems	1132
201012	Username.problems	1016
201101	Username.problems	1460
201102	Username.problems	1143
201103	Username.problems	1477
201104	Username.problems	1249
201105	Username.problems	1199
201106	Username.problems	1131
201107	Username.problems	1390
201108	Username.problems	1514
201109	Username.problems	1475
201110	Username.problems	883
201111	Username.problems	782
201112	Username.problems	936
201201	Username.problems	1162
201202	Username.problems	1239
201203	Username.problems	904
201204	Username.problems	858
201205	Username.problems	925
201206	Username.problems	944
201207	Username.problems	610
201208	Username.problems	749
201209	Username.problems	717
201210	Username.problems	1020
201211	Username.problems	1194
201212	Username.problems	1184
200601	Proxies	0
200602	Proxies	0
200603	Proxies	1
200604	Proxies	1
200605	Proxies	0
200606	Proxies	0
200607	Proxies	0
200608	Proxies	0
200609	Proxies	0
200610	Proxies	0
200611	Proxies	0
200612	Proxies	0
200701	Proxies	0
200702	Proxies	0
200703	Proxies	0
200704	Proxies	0
200705	Proxies	0
200706	Proxies	1
200707	Proxies	0
200708	Proxies	0
200709	Proxies	0
200710	Proxies	0
200711	Proxies	0
200712	Proxies	0
200801	Proxies	0
200802	Proxies	0
200803	Proxies	0
200804	Proxies	0
200805	Proxies	0
200806	Proxies	0
200807	Proxies	0
200808	Proxies	0
200809	Proxies	0
200810	Proxies	0
200811	Proxies	0
200812	Proxies	0
200901	Proxies	0
200902	Proxies	1
200903	Proxies	1
200904	Proxies	0
200905	Proxies	0
