block_timestamp	variable	value
2006	spam	1335
2007	spam	3285
2008	spam	7034
2009	spam	15951
2010	spam	15995
2011	spam	16988
2012	spam	19800
2006	bad.faith	25571
2007	bad.faith	38960
2008	bad.faith	30413
2009	bad.faith	28848
2010	bad.faith	24773
2011	bad.faith	20468
2012	bad.faith	18314
2006	Sockpuppetry	6322
2007	Sockpuppetry	12054
2008	Sockpuppetry	17556
2009	Sockpuppetry	20261
2010	Sockpuppetry	17119
2011	Sockpuppetry	16291
2012	Sockpuppetry	13596
2006	Username.problems	23979
2007	Username.problems	24410
2008	Username.problems	17651
2009	Username.problems	16219
2010	Username.problems	17524
2011	Username.problems	14639
2012	Username.problems	11506
2006	Proxies	2
2007	Proxies	1
2008	Proxies	0
2009	Proxies	2
2010	Proxies	5
2011	Proxies	3
2012	Proxies	0
2006	Misc	13864
2007	Misc	4705
2008	Misc	2047
2009	Misc	3130
2010	Misc	2112
2011	Misc	2744
2012	Misc	2223
