block_timestamp	variable	value
2006	spam	466
2007	spam	673
2008	spam	920
2009	spam	1231
2010	spam	207
2011	spam	205
2012	spam	180
2006	bad.faith	7756
2007	bad.faith	9938
2008	bad.faith	9556
2009	bad.faith	5574
2010	bad.faith	4273
2011	bad.faith	3506
2012	bad.faith	2988
2006	Sockpuppetry	347
2007	Sockpuppetry	508
2008	Sockpuppetry	2069
2009	Sockpuppetry	417
2010	Sockpuppetry	297
2011	Sockpuppetry	341
2012	Sockpuppetry	358
2006	Username.problems	120
2007	Username.problems	382
2008	Username.problems	727
2009	Username.problems	42
2010	Username.problems	3
2011	Username.problems	10
2012	Username.problems	4
2006	Proxies	1
2007	Proxies	2
2008	Proxies	2
2009	Proxies	0
2010	Proxies	0
2011	Proxies	1
2012	Proxies	0
2006	Misc	1771
2007	Misc	1739
2008	Misc	1070
2009	Misc	491
2010	Misc	360
2011	Misc	326
2012	Misc	282
