block_timestamp	variable	value
200601	spam	32
200602	spam	24
200603	spam	19
200604	spam	21
200605	spam	37
200606	spam	53
200607	spam	32
200608	spam	45
200609	spam	34
200610	spam	51
200611	spam	68
200612	spam	50
200701	spam	87
200702	spam	57
200703	spam	55
200704	spam	50
200705	spam	73
200706	spam	55
200707	spam	58
200708	spam	38
200709	spam	44
200710	spam	55
200711	spam	55
200712	spam	46
200801	spam	36
200802	spam	56
200803	spam	55
200804	spam	39
200805	spam	42
200806	spam	44
200807	spam	39
200808	spam	24
200809	spam	113
200810	spam	258
200811	spam	181
200812	spam	33
200901	spam	33
200902	spam	25
200903	spam	21
200904	spam	25
200905	spam	10
200906	spam	985
200907	spam	39
200908	spam	11
200909	spam	33
200910	spam	20
200911	spam	11
200912	spam	18
201001	spam	18
201002	spam	16
201003	spam	16
201004	spam	14
201005	spam	27
201006	spam	22
201007	spam	16
201008	spam	23
201009	spam	14
201010	spam	10
201011	spam	15
201012	spam	16
201101	spam	18
201102	spam	18
201103	spam	18
201104	spam	19
201105	spam	11
201106	spam	16
201107	spam	18
201108	spam	20
201109	spam	16
201110	spam	22
201111	spam	11
201112	spam	18
201201	spam	14
201202	spam	31
201203	spam	15
201204	spam	12
201205	spam	13
201206	spam	16
201207	spam	19
201208	spam	13
201209	spam	6
201210	spam	13
201211	spam	14
201212	spam	14
200601	bad.faith	486
200602	bad.faith	501
200603	bad.faith	610
200604	bad.faith	499
200605	bad.faith	628
200606	bad.faith	727
200607	bad.faith	568
200608	bad.faith	605
200609	bad.faith	660
200610	bad.faith	768
200611	bad.faith	774
200612	bad.faith	723
200701	bad.faith	782
200702	bad.faith	828
200703	bad.faith	900
200704	bad.faith	963
200705	bad.faith	873
200706	bad.faith	742
200707	bad.faith	652
200708	bad.faith	664
200709	bad.faith	793
200710	bad.faith	892
200711	bad.faith	899
200712	bad.faith	780
200801	bad.faith	794
200802	bad.faith	875
200803	bad.faith	883
200804	bad.faith	831
200805	bad.faith	718
200806	bad.faith	573
200807	bad.faith	578
200808	bad.faith	511
200809	bad.faith	911
200810	bad.faith	1359
200811	bad.faith	1013
200812	bad.faith	459
200901	bad.faith	571
200902	bad.faith	566
200903	bad.faith	602
200904	bad.faith	420
200905	bad.faith	436
200906	bad.faith	498
200907	bad.faith	450
200908	bad.faith	431
200909	bad.faith	375
200910	bad.faith	417
200911	bad.faith	391
200912	bad.faith	382
201001	bad.faith	402
201002	bad.faith	387
201003	bad.faith	425
201004	bad.faith	378
201005	bad.faith	363
201006	bad.faith	345
201007	bad.faith	336
201008	bad.faith	344
201009	bad.faith	333
201010	bad.faith	316
201011	bad.faith	334
201012	bad.faith	288
201101	bad.faith	283
201102	bad.faith	337
201103	bad.faith	271
201104	bad.faith	282
201105	bad.faith	319
201106	bad.faith	330
201107	bad.faith	306
201108	bad.faith	312
201109	bad.faith	228
201110	bad.faith	298
201111	bad.faith	238
201112	bad.faith	284
201201	bad.faith	293
201202	bad.faith	262
201203	bad.faith	252
201204	bad.faith	230
201205	bad.faith	217
201206	bad.faith	244
201207	bad.faith	255
201208	bad.faith	290
201209	bad.faith	282
201210	bad.faith	213
201211	bad.faith	194
201212	bad.faith	242
200601	Sockpuppetry	11
200602	Sockpuppetry	10
200603	Sockpuppetry	27
200604	Sockpuppetry	25
200605	Sockpuppetry	18
200606	Sockpuppetry	97
200607	Sockpuppetry	25
200608	Sockpuppetry	27
200609	Sockpuppetry	21
200610	Sockpuppetry	24
200611	Sockpuppetry	31
200612	Sockpuppetry	36
200701	Sockpuppetry	29
200702	Sockpuppetry	56
200703	Sockpuppetry	47
200704	Sockpuppetry	38
200705	Sockpuppetry	42
200706	Sockpuppetry	39
200707	Sockpuppetry	40
200708	Sockpuppetry	38
200709	Sockpuppetry	48
200710	Sockpuppetry	40
200711	Sockpuppetry	43
200712	Sockpuppetry	66
200801	Sockpuppetry	55
200802	Sockpuppetry	53
200803	Sockpuppetry	69
200804	Sockpuppetry	79
200805	Sockpuppetry	56
200806	Sockpuppetry	144
200807	Sockpuppetry	675
200808	Sockpuppetry	81
200809	Sockpuppetry	146
200810	Sockpuppetry	459
200811	Sockpuppetry	223
200812	Sockpuppetry	36
200901	Sockpuppetry	52
200902	Sockpuppetry	42
200903	Sockpuppetry	59
200904	Sockpuppetry	36
200905	Sockpuppetry	42
200906	Sockpuppetry	28
200907	Sockpuppetry	20
